Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
,Ferreira,Goalkeeper,"Feb 2, 1985 ",39,Brazil,Brazil,,"1,88",-,,Brazil,,,
,Rodrigão,Goalkeeper,"Dec 11, 1985 ",38,"Brazil, Portugal",Brazil,Coromandel,"1,91",-,,Brazil, Portugal,,
,Guilherme,Goalkeeper,"Jan 22, 1985 ",39,Brazil,Brazil,Nova Lima,"1,90",-,,Brazil,,,
,Leandro,Goalkeeper,"Oct 5, 1985 ",38,Brazil,Brazil,Sao Paulo,"1,93",-,,Brazil,,,
,Rodolfo Romano,Goalkeeper,"May 25, 1985 ",38,Brazil,Brazil,Londrina,"1,90",-,,Brazil,,,
,Vitor,Goalkeeper,"Apr 15, 1985 ",38,Brazil,Brazil,Rio de Janeiro,"1,90",-,,Brazil,,,
,Saulo,Goalkeeper,"Aug 10, 1985 ",38,"Brazil, Italy",Brazil,Salto,"1,91",-,,Brazil, Italy,,
,Café,Goalkeeper,"May 16, 1985 ",38,"Brazil, Italy",Brazil,Curitiba,"1,88",-,,Brazil, Italy,,
,Sérvulo,Goalkeeper,"Dec 21, 1985 ",38,Brazil,Brazil,Niteroi,"1,87",-,,Brazil,,,
12.0,Christian Leite,Goalkeeper,"Nov 9, 1985 ",38,Brazil,Brazil,Rio de Janeiro,,-,,Brazil,,,
,Flávio,Goalkeeper,"Mar 5, 1985 ",39,Brazil,Brazil,Teofilo Otoni,"1,91",-,,Brazil,,,
,Gottardi,Goalkeeper,"Jul 22, 1985 ",38,"Brazil, Portugal",Brazil,Encantado,"1,93",-,,Brazil, Portugal,,
,Vinícius,Goalkeeper,"Jul 19, 1985 ",38,"Brazil, Italy",Brazil,Marechal Candido Rondon,"1,92",-,,Brazil, Italy,,
,Renan,Goalkeeper,"Jan 24, 1985 ",39,Brazil,Brazil,Viamao,"1,86",-,,Brazil,,,
14.0,Marcelo Lomba,Goalkeeper,"Dec 18, 1986 ",37,Brazil,Brazil,Rio de Janeiro,"1,89",€300k,,Brazil,,,
86.0,Paulo César,Goalkeeper,"Mar 27, 1986 ",37,"Hongkong, Brazil",Brazil,Aracaju,"1,92",€100k,,Hongkong, Brazil,,
1.0,Vagner,Goalkeeper,"Jun 6, 1986 ",37,Brazil,Brazil,Araruna,"1,86",€50k,,Brazil,,,
,Júlio César,Goalkeeper,"Sep 2, 1986 ",37,Brazil,Brazil,Guaramirin,"1,91",€50k,,Brazil,,,
,Felipe Paranhos,Goalkeeper,"Oct 11, 1986 ",37,Brazil,Brazil,Rio de Janeiro,,-,,Brazil,,,
,Jhones,Goalkeeper,"May 9, 1986 ",37,Brazil,Brazil,Fortaleza,"1,87",-,,Brazil,,,
,Matheus Nogueira,Goalkeeper,"Aug 8, 1986 ",37,Brazil,Brazil,Taboao da Serra,"1,90",-,,Brazil,,,
,Roque Alan,Goalkeeper,"Apr 28, 1986 ",37,Brazil,Brazil,Coruripe,"1,85",-,,Brazil,,,
,Nícolas,Goalkeeper,"Jun 6, 1986 ",37,Brazil,Brazil,Campo Bom,"1,92",-,,Brazil,,,
,Célio Gabriel,Goalkeeper,"Feb 8, 1986 ",38,Brazil,Brazil,,"1,95",-,,Brazil,,,
,Cléber Alves,Goalkeeper,"Jul 15, 1986 ",37,Brazil,Brazil,Limeira,"1,88",-,,Brazil,,,
,Tigre,Goalkeeper,"Jan 25, 1986 ",38,Brazil,Brazil,Salvador,"1,90",-,,Brazil,,,
,Anderson Max,Goalkeeper,"Sep 23, 1986 ",37,Brazil,Brazil,Estancia,"1,89",-,,Brazil,,,
12.0,Diogo Silva,Goalkeeper,"Jul 8, 1986 ",37,Brazil,Brazil,Cuiaba,"1,92",€150k,,Brazil,,,
,Matheus Cavichioli,Goalkeeper,"Jul 27, 1986 ",37,"Brazil, Italy",Brazil,Cacador,"1,92",€100k,,Brazil, Italy,,
,Dalton,Goalkeeper,"Sep 8, 1986 ",37,Brazil,Brazil,Chapeco,"1,98",€50k,,Brazil,,,
1.0,Guga,Goalkeeper,"Feb 15, 1986 ",38,"Brazil, Portugal",Brazil,,"2,00",-,,Brazil, Portugal,,
,Naldo,Goalkeeper,"Jan 11, 1986 ",38,Brazil,Brazil,,"1,86",-,,Brazil,,,
,Rodrigo Calchi,Goalkeeper,"Feb 12, 1986 ",38,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Thiago Passos,Goalkeeper,"Jan 30, 1986 ",38,Brazil,Brazil,Itabuna,"1,86",-,,Brazil,,,
,Edwin Maria Fanini,Goalkeeper,"May 25, 1986 ",37,Brazil,Brazil,Parana,,-,,Brazil,,,
,Preto,Goalkeeper,"Jan 1, 1986 ",38,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Wágner,Goalkeeper,"Apr 30, 1986 ",37,Brazil,Brazil,Mogi Mirim,,-,,Brazil,,,
,Juliano,Goalkeeper,"Aug 8, 1986 ",37,Brazil,Brazil,Xaxim,"1,87",-,,Brazil,,,
,Jeferson,Goalkeeper,"Jan 9, 1986 ",38,Brazil,Brazil,Caratinga,"1,82",-,,Brazil,,,
,André Zuba,Goalkeeper,"Jun 23, 1986 ",37,"Brazil, Portugal",Brazil,Mirassol,"1,89",-,,Brazil, Portugal,,
,Alex Alves,Goalkeeper,"Nov 8, 1986 ",37,Brazil,Brazil,Aracatuba,"1,91",-,,Brazil,,,
,Fabrício,Goalkeeper,"Jan 7, 1986 ",38,Brazil,Brazil,Paranavai,"1,93",-,,Brazil,,,
,Jair Lemos,Goalkeeper,"Dec 2, 1986 ",37,Brazil,Brazil,Santana do Livramento,"1,84",-,,Brazil,,,
,Wanderson,Goalkeeper,"Nov 18, 1986 ",37,Brazil,Brazil,Sinop,"1,93",-,,Brazil,,,
,Ari,Goalkeeper,"Apr 18, 1986 ",37,Brazil,Brazil,Curitiba,"1,88",-,,Brazil,,,
,César Luz,Goalkeeper,"Mar 10, 1986 ",38,Brazil,Brazil,Guaratingueta,"1,91",-,,Brazil,,,
,Ricardo,Goalkeeper,"Dec 23, 1986 ",37,Brazil,Brazil,Palmitos,"1,88",-,,Brazil,,,
,Renato Piovezan,Goalkeeper,"Apr 24, 1986 ",37,"Brazil, Italy",Brazil,Cachoeiro de Itapemirim,"1,84",-,,Brazil, Italy,,
,Diego,Goalkeeper,"May 1, 1986 ",37,Brazil,Brazil,Valparaiso,"1,87",-,,Brazil,,,
,Leonan,Goalkeeper,"Apr 6, 1986 ",37,Brazil,Brazil,,"1,81",-,,Brazil,,,
21.0,Weverton,Goalkeeper,"Dec 13, 1987 ",36,Brazil,Brazil,Rio Branco,"1,89",€2.50m,,Brazil,,,
34.0,Marcelo Grohe,Goalkeeper,"Jan 13, 1987 ",37,"Brazil, Italy",Brazil,Campo Bom,"1,88",€500k,,Brazil, Italy,,
1.0,Denis,Goalkeeper,"Apr 14, 1987 ",36,Brazil,Brazil,Jau,"1,88",€200k,,Brazil,,,
30.0,Bruno Grassi,Goalkeeper,"Mar 5, 1987 ",37,"Brazil, Italy",Brazil,Tubarao,"1,92",€100k,,Brazil, Italy,,
,Dida Tucuruí,Goalkeeper,"Nov 1, 1987 ",36,Brazil,Brazil,Tucurui,"1,87",-,,Brazil,,,
,Jaílson,Goalkeeper,"Jul 19, 1987 ",36,Brazil,Brazil,Piripiri,"1,83",-,,Brazil,,,
,Felipe Rocha,Goalkeeper,"Feb 11, 1987 ",37,Brazil,Brazil,Sao Paulo,"1,85",-,,Brazil,,,
,Naylson,Goalkeeper,"Jan 19, 1987 ",37,Brazil,Brazil,,,-,,Brazil,,,
,Jefferson,Goalkeeper,"Jan 8, 1987 ",37,Brazil,Brazil,,,-,,Brazil,,,
,Daniel Guimarães,Goalkeeper,"Apr 18, 1987 ",36,Brazil,Brazil,Timoteo,"1,89",-,,Brazil,,,
,Iván Leôncio,Goalkeeper,"Aug 28, 1987 ",36,Brazil,Brazil,San Jose do Campos,"1,93",-,,Brazil,,,
,Pedro Paulo,Goalkeeper,"Nov 5, 1987 ",36,Brazil,Brazil,,,-,,Brazil,,,
,Mauro Iguatu,Goalkeeper,"Nov 14, 1987 ",36,Brazil,Brazil,Teresina,"1,90",-,,Brazil,,,
12.0,Cássio,Goalkeeper,"Jun 6, 1987 ",36,Brazil,Brazil,Veranopolis,"1,95",€600k,,Brazil,,,
,Walter,Goalkeeper,"Nov 18, 1987 ",36,"Brazil, Italy",Brazil,Jau,"1,88",€250k,,Brazil, Italy,,
,Muriel,Goalkeeper,"Feb 14, 1987 ",37,"Brazil, Germany",Brazil,Novo Hamburgo,"1,89",€200k,,Brazil, Germany,,
48.0,Paulo Victor,Goalkeeper,"Jan 12, 1987 ",37,"Brazil, Italy",Brazil,Assis,"1,87",€100k,,Brazil, Italy,,
,Rodolfo,Goalkeeper,"Mar 10, 1987 ",37,Brazil,Brazil,Coxim,"1,84",-,,Brazil,,,
,Dida,Goalkeeper,"Aug 12, 1987 ",36,Brazil,Brazil,,,-,,Brazil,,,
,Gleibson,Goalkeeper,"Jun 19, 1987 ",36,Brazil,Brazil,Recife,"1,85",-,,Brazil,,,
22.0,Batista,Goalkeeper,"Jul 8, 1987 ",36,Brazil,Brazil,Arapiraca,"1,83",-,,Brazil,,,
,Stephan Hilpert,Goalkeeper,"Nov 16, 1987 ",36,Switzerland,Brazil,Sao Paulo,,-,,Switzerland,,,
,Lima,Goalkeeper,"Sep 24, 1987 ",36,Brazil,Brazil,Riachao do Jacuipe,"1,86",-,,Brazil,,,
,Rafael,Goalkeeper,"Jan 18, 1987 ",37,Brazil,Brazil,Sao Paulo,"1,98",-,,Brazil,,,
,Gideão,Goalkeeper,"Dec 19, 1987 ",36,Brazil,Brazil,Vitoria,"1,90",-,,Brazil,,,
,André Moretto,Goalkeeper,"Apr 27, 1987 ",36,Brazil,Brazil,Sinop,"1,86",-,,Brazil,,,
,Baggio,Goalkeeper,"May 10, 1987 ",36,Brazil,Brazil,Almadina,"1,92",-,,Brazil,,,
,Elisson,Goalkeeper,"Mar 26, 1987 ",36,Brazil,Brazil,Belo Horizonte,"1,84",-,,Brazil,,,
,Douglas Dias,Goalkeeper,"Oct 13, 1987 ",36,Brazil,Brazil,Sao Paulo,"1,88",-,,Brazil,,,
,Júnior Belliato,Goalkeeper,"Sep 26, 1987 ",36,Brazil,Brazil,Londrina,"1,94",-,,Brazil,,,
,Renan Rocha,Goalkeeper,"Mar 25, 1987 ",36,Brazil,Brazil,Piracicaba,"1,94",-,,Brazil,,,
,Gabriel Leite,Goalkeeper,"Dec 28, 1987 ",36,Brazil,Brazil,Curitiba,"1,87",-,,Brazil,,,
,Luís Cetin,Goalkeeper,"Aug 5, 1987 ",36,Brazil,Brazil,Limeira,"1,91",-,,Brazil,,,
,Giovanni,Goalkeeper,"Feb 5, 1987 ",37,Brazil,Brazil,Bauru,"1,91",-,,Brazil,,,
,Léo Rodrigues,Goalkeeper,"Mar 30, 1987 ",36,Brazil,Brazil,Sao Paulo,"1,90",-,,Brazil,,,
,Weverton,Goalkeeper,"Sep 2, 1987 ",36,Brazil,Brazil,Rondonopolis,"1,90",-,,Brazil,,,
,Jaime,Goalkeeper,"Jul 28, 1987 ",36,Brazil,Brazil,Rio de Janeiro,"1,87",-,,Brazil,,,
,André Fellipe,Goalkeeper,"Aug 9, 1987 ",36,Brazil,Brazil,Palhoca,"1,91",-,,Brazil,,,
,Luis Carlos,Goalkeeper,"Jul 28, 1987 ",36,Brazil,Brazil,Curitiba,"1,90",-,,Brazil,,,
,Bruno,Goalkeeper,"Feb 5, 1987 ",37,Brazil,Brazil,Guarapari,"1,94",-,,Brazil,,,
,Alison,Goalkeeper,"Jan 24, 1987 ",37,Brazil,Brazil,Amelia Rodrigues,"1,85",-,,Brazil,,,
1.0,João Ricardo,Goalkeeper,"Sep 6, 1988 ",35,Brazil,Brazil,Mariano Moro,"1,86",€350k,,Brazil,,,
1.0,Nícolas,Goalkeeper,"Apr 12, 1988 ",35,"Brazil, Italy",Brazil,Colorado do Oeste,"1,90",€300k,,Brazil, Italy,,
27.0,Felipe Alves,Goalkeeper,"May 21, 1988 ",35,Brazil,Brazil,Sao Paulo,"1,87",€250k,,Brazil,,,
22.0,Douglas Friedrich,Goalkeeper,"Dec 12, 1988 ",35,Brazil,Brazil,Candelaria,"1,94",€200k,,Brazil,,,
,Marcelo Rangel,Goalkeeper,"May 17, 1988 ",35,Brazil,Brazil,Marechal Candido Rondon,"1,86",€150k,,Brazil,,,
,Thiago Rodrigues,Goalkeeper,"Oct 20, 1988 ",35,Brazil,Brazil,Curitiba,"1,89",€150k,,Brazil,,,
1.0,Muller,Goalkeeper,"Feb 13, 1988 ",36,Brazil,Brazil,Sao Paulo,"1,83",-,,Brazil,,,
,André Pereira,Goalkeeper,"Jan 2, 1988 ",36,Brazil,Brazil,,"1,91",-,,Brazil,,,
,Marcão,Goalkeeper,"Sep 2, 1988 ",35,Brazil,Brazil,Granja,"1,88",-,,Brazil,,,
,Geovani,Goalkeeper,"Oct 6, 1988 ",35,Brazil,Brazil,,,-,,Brazil,,,
1.0,Paulo Wanzeler,Goalkeeper,"Feb 19, 1988 ",36,Brazil,Brazil,Belem,"1,83",-,,Brazil,,,
,Adilson Júnior,Goalkeeper,"Jul 30, 1988 ",35,Brazil,Brazil,Brasilia,"1,89",-,,Brazil,,,
,Felipe Gomes,Goalkeeper,"Dec 6, 1988 ",35,Brazil,Brazil,Vilhena,"1,98",-,,Brazil,,,
40.0,Fabiano,Goalkeeper,"Feb 29, 1988 ",36,"Brazil, Portugal",Brazil,Santo Antonio de Jesus,"1,97",€350k,,Brazil, Portugal,,
1.0,Danilo Fernandes,Goalkeeper,"Apr 3, 1988 ",35,Brazil,Brazil,Guarulhos,"1,88",€300k,,Brazil,,,
1.0,Paulo Vítor,Goalkeeper,"Nov 21, 1988 ",35,Brazil,Brazil,Sao Joao de Meriti,"1,95",€200k,,Brazil,,,
,Felipe Garcia,Goalkeeper,"Jan 10, 1988 ",36,Brazil,Brazil,Sao Vicente,"1,93",€200k,,Brazil,,,
90.0,Ivanildo Rodrigues,Goalkeeper,"Dec 12, 1988 ",35,"Qatar, Brazil",Brazil,,"1,91",€150k,,Qatar, Brazil,,
,João Carlos,Goalkeeper,"Apr 6, 1988 ",35,Brazil,Brazil,Paranavai,"1,91",€100k,,Brazil,,,
,Gil Grando,Goalkeeper,"Feb 10, 1988 ",36,Brazil,Brazil,Veranopolis,"1,89",-,,Brazil,,,
,Theo,Goalkeeper,"Apr 20, 1988 ",35,Brazil,Brazil,,"1,88",-,,Brazil,,,
,Alan,Goalkeeper,"Dec 1, 1988 ",35,Brazil,Brazil,,"1,90",-,,Brazil,,,
22.0,Daniel Goulart,Goalkeeper,"Nov 23, 1988 ",35,Brazil,Brazil,Uberlandia,,-,,Brazil,,,
,Fabrício,Goalkeeper,"Apr 29, 1988 ",35,"Brazil, Portugal",Brazil,Santo Anastacio,"1,90",-,,Brazil, Portugal,,
,Marcão,Goalkeeper,"May 27, 1988 ",35,Brazil,Brazil,Serra,"1,92",-,,Brazil,,,
,Dida,Goalkeeper,"Apr 3, 1988 ",35,Brazil,Brazil,Belo Horizonte,"1,96",-,,Brazil,,,
,Luiz Fernando,Goalkeeper,"Feb 20, 1988 ",36,Brazil,Brazil,Sao Paulo,"1,86",-,,Brazil,,,
,Silvio,Goalkeeper,"Oct 11, 1988 ",35,Brazil,Brazil,Ponta Grossa,"1,96",-,,Brazil,,,
,Glaycon,Goalkeeper,"Sep 7, 1988 ",35,Brazil,Brazil,Governador Valadares,"1,92",-,,Brazil,,,
,Lee Oliveira,Goalkeeper,"Mar 9, 1988 ",36,Brazil,Brazil,Sao Paulo,"1,88",-,,Brazil,,,
,Renato,Goalkeeper,"Jun 22, 1988 ",35,Brazil,Brazil,Mogi das Cruzes,"1,88",-,,Brazil,,,
,Ismael,Goalkeeper,"Jan 21, 1988 ",36,Brazil,Brazil,Porto Alegre,"1,91",-,,Brazil,,,
,Bruno Fuso,Goalkeeper,"Jan 30, 1988 ",36,Brazil,Brazil,Limeira,"1,94",-,,Brazil,,,
,Dida,Goalkeeper,"Apr 2, 1988 ",35,Brazil,Brazil,Sao Paulo,"1,90",-,,Brazil,,,
,Caio Venâncio,Goalkeeper,"Feb 17, 1988 ",36,Brazil,Brazil,Sananduva,"1,86",-,,Brazil,,,
,Enderson,Goalkeeper,"Jan 16, 1988 ",36,Brazil,Brazil,Faxinal,"1,91",-,,Brazil,,,
,León Netto,Goalkeeper,"Sep 15, 1988 ",35,"Brazil, Portugal",Brazil,Rio de janeiro,"1,82",-,,Brazil, Portugal,,
,Alex,Goalkeeper,"Feb 3, 1988 ",36,Brazil,Brazil,Piracicaba,"1,90",-,,Brazil,,,
,Patriky Corteletti,Goalkeeper,N/A ,,,Brazil,,,-,,,,,
,Raphael Alemão,Goalkeeper,"Aug 17, 1988 ",35,Brazil,Brazil,Piracicaba,"1,97",-,,Brazil,,,
,Moreno,Goalkeeper,"Apr 5, 1988 ",35,Brazil,Brazil,Rio de Janeiro,"1,90",-,,Brazil,,,
,Olivier Mabille,Goalkeeper,"Mar 1, 1988 ",36,"Luxembourg, Brazil",Brazil,Cabedelo,"1,85",-,,Luxembourg, Brazil,,
,Alessandro,Goalkeeper,"Mar 30, 1988 ",35,Brazil,Brazil,Cascavel,"1,91",-,,Brazil,,,
,Diogo,Goalkeeper,"Mar 22, 1988 ",35,Brazil,Brazil,Sao Borja,"1,89",-,,Brazil,,,
,Luiz Carlos,Goalkeeper,"May 24, 1988 ",35,Brazil,Brazil,Porto Alegre,"1,91",-,,Brazil,,,
,David,Goalkeeper,"Aug 25, 1988 ",35,Brazil,Brazil,Teresina,"1,88",-,,Brazil,,,
,Jorge Miguel,Goalkeeper,"Feb 16, 1988 ",36,Brazil,Brazil,Sao Jose do Rio Preto,"1,82",-,,Brazil,,,
1.0,Neto,Goalkeeper,"Jul 19, 1989 ",34,"Brazil, Italy",Brazil,Araxa,"1,90",€2.50m,,Brazil, Italy,,
33.0,Renan,Goalkeeper,"May 18, 1989 ",34,"Brazil, Bulgaria",Brazil,Rio de Janeiro,"1,90",€300k,,Brazil, Bulgaria,,
,Vladimir,Goalkeeper,"Jul 16, 1989 ",34,Brazil,Brazil,Ipiau,"1,91",€200k,,Brazil,,,
,Darley,Goalkeeper,"Dec 15, 1989 ",34,Brazil,Brazil,Pedro Leopoldo,"1,88",€50k,,Brazil,,,
,João Paulo,Goalkeeper,"Jan 20, 1989 ",35,Brazil,Brazil,,"1,88",-,,Brazil,,,
,Márcio Fernandes,Goalkeeper,"Sep 21, 1989 ",34,Brazil,Brazil,Brasilia,"1,90",-,,Brazil,,,
,Rodrigo Dias,Goalkeeper,"Jan 10, 1989 ",35,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Fábio Rampi,Goalkeeper,"Jan 23, 1989 ",35,Brazil,Brazil,Aratiba,"1,84",-,,Brazil,,,
1.0,Alex,Goalkeeper,"Sep 11, 1989 ",34,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Dheimison,Goalkeeper,"Aug 1, 1989 ",34,Brazil,Brazil,Sao Paulo,"1,84",-,,Brazil,,,
,Wagner,Goalkeeper,"Oct 3, 1989 ",34,Brazil,Brazil,Barretos,"1,96",-,,Brazil,,,
,Remerson,Goalkeeper,"Feb 7, 1989 ",35,Brazil,Brazil,,"1,88",-,,Brazil,,,
,Rodrigo Viana,Goalkeeper,"Nov 14, 1989 ",34,Brazil,Brazil,Rio de Janeiro,"1,82",-,,Brazil,,,
23.0,Rafael,Goalkeeper,"Jun 23, 1989 ",34,Brazil,Brazil,Coronel Fabriciano,"1,92",€600k,,Brazil,,,
,Alex Muralha,Goalkeeper,"Nov 10, 1989 ",34,Brazil,Brazil,Tres Coracoes,"1,89",€200k,,Brazil,,,
1.0,Lucas Frigeri,Goalkeeper,"Jun 15, 1989 ",34,Brazil,Brazil,Catanduva,"1,94",€125k,,Brazil,,,
,Luís Paulo,Goalkeeper,"Sep 3, 1989 ",34,Brazil,Brazil,,,-,,Brazil,,,
,Fábio,Goalkeeper,"Jun 27, 1989 ",34,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Uóston,Goalkeeper,"Dec 8, 1989 ",34,Brazil,Brazil,,,-,,Brazil,,,
,Edmar Sucuri,Goalkeeper,"Oct 13, 1989 ",34,Brazil,Brazil,Brasilia,"1,86",-,,Brazil,,,
,Léo,Goalkeeper,"Jun 15, 1989 ",34,Brazil,Brazil,,"1,85",-,,Brazil,,,
,Igor,Goalkeeper,"Apr 1, 1989 ",34,Brazil,Brazil,,,-,,Brazil,,,
,Giovani,Goalkeeper,"Feb 28, 1989 ",35,"Brazil, Germany",Brazil,Marechal Candido Rondon,"1,93",-,,Brazil, Germany,,
,Arthur,Goalkeeper,"Dec 19, 1989 ",34,Brazil,Brazil,,"1,88",-,,Brazil,,,
,Igor Missaggia,Goalkeeper,"Jan 21, 1989 ",35,Brazil,Brazil,Cachoeiro de Itapemirim,,-,,Brazil,,,
1.0,Evandro Rachoni,Goalkeeper,"Nov 24, 1989 ",34,"Brazil, Italy",Brazil,Sao Pedro,"1,87",-,,Brazil, Italy,,
,Cley,Goalkeeper,"Nov 10, 1989 ",34,Brazil,Brazil,Rio de Janeiro,"1,92",-,,Brazil,,,
,Celio Rocha,Goalkeeper,"Feb 5, 1989 ",35,"Brazil, Italy",Brazil,Santa Catarina,"1,88",-,,Brazil, Italy,,
,Vagner,Goalkeeper,"Aug 24, 1989 ",34,"Brazil, Italy",Brazil,Bom Sucesso do Sul,"1,92",-,,Brazil, Italy,,
,Samuel Pires,Goalkeeper,"Jan 17, 1989 ",35,Brazil,Brazil,Coaraci,"1,87",-,,Brazil,,,
,Rafael Dida,Goalkeeper,"Apr 25, 1989 ",34,Brazil,Brazil,Taubate,"1,93",-,,Brazil,,,
,Kléver,Goalkeeper,"Jun 20, 1989 ",34,Brazil,Brazil,Mirassol,"1,89",-,,Brazil,,,
1.0,Juan Castro,Goalkeeper,"Feb 14, 1989 ",35,"Portugal, Brazil",Brazil,Brasilia,"1,84",-,,Portugal, Brazil,,
,Murilo Da Costa,Goalkeeper,"Mar 1, 1989 ",35,Brazil,Brazil,,,-,,Brazil,,,
,Artur,Goalkeeper,"Mar 24, 1989 ",34,Brazil,Brazil,Taguatinga,"1,92",-,,Brazil,,,
,Douglas,Goalkeeper,"Jun 20, 1989 ",34,"Brazil, Italy",Brazil,Campo Grande,"1,88",-,,Brazil, Italy,,
,Edilson Guerra,Goalkeeper,"Feb 18, 1989 ",35,Brazil,Brazil,Penapolis,"1,90",-,,Brazil,,,
,Assis,Goalkeeper,"Oct 4, 1989 ",34,"Brazil, Portugal",Brazil,Garibaldi,"1,87",-,,Brazil, Portugal,,
,Fernando Júnior,Goalkeeper,"Dec 20, 1989 ",34,Brazil,Brazil,Toledo,"1,96",-,,Brazil,,,
,André Luis,Goalkeeper,"Jan 1, 1989 ",35,Brazil,Brazil,Itumbiara,"1,89",-,,Brazil,,,
,Tiago,Goalkeeper,"Jul 13, 1989 ",34,Brazil,Brazil,Sao Paulo,"1,85",-,,Brazil,,,
,Camilo,Goalkeeper,"Mar 6, 1989 ",35,Brazil,Brazil,Maceio,"1,93",-,,Brazil,,,
,William Menezes,Goalkeeper,"Apr 5, 1989 ",34,Brazil,Brazil,Campanha,"1,92",-,,Brazil,,,
,Juliano,Goalkeeper,"Mar 7, 1989 ",35,Brazil,Brazil,Ibati,"1,89",-,,Brazil,,,
,Matheus,Goalkeeper,"May 5, 1989 ",34,Brazil,Brazil,Alegrete,"1,85",-,,Brazil,,,
12.0,Mauricio Viana,Goalkeeper,"Jun 14, 1989 ",34,"Chile, Brazil",Brazil,Sao Paulo,"1,83",-,,Chile, Brazil,,
,Tom,Goalkeeper,"Apr 5, 1989 ",34,Brazil,Brazil,Guarulhos,"1,95",-,,Brazil,,,
,Omar,Goalkeeper,"Aug 22, 1989 ",34,Brazil,Brazil,Sao Paulo,"1,95",-,,Brazil,,,
12.0,Marcelo Valverde,Goalkeeper,"Nov 21, 1989 ",34,Brazil,Brazil,Rio de Janeiro,"1,85",-,,Brazil,,,
,Rafael Santos,Goalkeeper,"Mar 14, 1989 ",34,Brazil,Brazil,Sao Paulo,"1,91",-,,Brazil,,,
,Agenor,Goalkeeper,"Dec 11, 1989 ",34,Brazil,Brazil,Erechim,"1,87",-,,Brazil,,,
,Saulo,Goalkeeper,"Apr 2, 1989 ",34,Brazil,Brazil,Piranhas,"1,95",-,,Brazil,,,
,Gustavo,Goalkeeper,"Apr 2, 1989 ",34,Brazil,Brazil,Campinas,"1,94",-,,Brazil,,,
22.0,Everson,Goalkeeper,"Jul 22, 1990 ",33,Brazil,Brazil,Pindamonhangaba,"1,92",€2.00m,,Brazil,,,
23.0,Santos,Goalkeeper,"Mar 17, 1990 ",33,Brazil,Brazil,Campina Grande,"1,88",€1.70m,,Brazil,,,
1.0,Gustavo Busatto,Goalkeeper,"Oct 23, 1990 ",33,"Brazil, Italy",Brazil,Arroio do Tigre,"1,90",€700k,,Brazil, Italy,,
31.0,Marcelo Carné,Goalkeeper,"Feb 6, 1990 ",34,Brazil,Brazil,Rio de Janeiro,"1,88",€350k,,Brazil,,,
