Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions
,Fred Desomberg,Goalkeeper,"Feb 9, 1989 ",35,['Belgium'],Belgium,Ukkel,"1,85",-,
,David Sugar,Goalkeeper,"Mar 28, 1989 ",34,"['Croatia', 'Belgium']",Belgium,Genk,"1,84",-,
49.0,Anthony Moris,Goalkeeper,"Apr 29, 1990 ",33,"['Luxembourg', 'Belgium']",Belgium,Arlon,"1,86",€2.00m,
12.0,Jo Coppens,Goalkeeper,"Dec 21, 1990 ",33,['Belgium'],Belgium,Heusden-Zolder,"1,90",€200k,
,Machael Beeckmans,Goalkeeper,"Jan 19, 1990 ",34,['Belgium'],Belgium,Boom,"1,91",-,
,Sam Vermeylen,Goalkeeper,"Nov 6, 1990 ",33,['Belgium'],Belgium,Antwerpen,"1,81",-,
,Gilles Dhont,Goalkeeper,"Oct 20, 1990 ",33,['Belgium'],Belgium,Gent,"1,78",-,
,Fréderic Ledent,Goalkeeper,"Jan 27, 1990 ",34,['Belgium'],Belgium,Merksem,"1,84",-,
,Jesse Soubry,Goalkeeper,"Mar 14, 1990 ",34,['Belgium'],Belgium,Brüssel,"1,85",-,
15.0,Yannick Thoelen,Goalkeeper,"Jul 18, 1990 ",33,['Belgium'],Belgium,Tessenderlo,"1,88",€200k,
,Glenn De Jonge,Goalkeeper,"Jul 26, 1990 ",33,['Belgium'],Belgium,,,-,
,Bram de Bruyn,Goalkeeper,"Jun 26, 1990 ",33,['Belgium'],Belgium,Beveren,"1,76",-,
,Ruben Smet,Goalkeeper,"Sep 19, 1990 ",33,['Belgium'],Belgium,Beveren,"1,82",-,
20.0,Kevin De Wolf,Goalkeeper,"Nov 20, 1990 ",33,['Belgium'],Belgium,Brussel,"1,81",-,
,Stijn Van der Kelen,Goalkeeper,"Jun 11, 1990 ",33,['Belgium'],Belgium,Dendermonde,"1,85",-,
26.0,Adrien Saussez,Goalkeeper,"Aug 25, 1991 ",32,['Belgium'],Belgium,Mons,"1,83",€150k,
,Denis Jansen,Goalkeeper,"Aug 13, 1991 ",32,"['Belgium', 'Germany']",Belgium,Kettenis,"1,93",-,
,Wouter Deman,Goalkeeper,"Jan 15, 1991 ",33,['Belgium'],Belgium,Lauwe,"1,80",-,
,Pierre Derbaudrenghien,Goalkeeper,"Jan 30, 1991 ",33,['Belgium'],Belgium,Liège,"1,95",-,
13.0,Sören Dutoit,Goalkeeper,"May 6, 1991 ",32,['Belgium'],Belgium,Harelbeke,"1,88",-,
,Xavier Kerckhove,Goalkeeper,"Aug 27, 1991 ",32,['Belgium'],Belgium,Oostende,"1,80",-,
,Miguel Santos Pravos,Goalkeeper,"Jul 19, 1991 ",32,"['Belgium', 'Brazil']",Belgium,Anderlecht,"1,86",-,
,Aram Jumel,Goalkeeper,"Apr 16, 1991 ",32,['France'],Belgium,Brussels,,-,
,Joris Blondeel,Goalkeeper,"Dec 26, 1991 ",32,['Belgium'],Belgium,,,-,
,Nicola Hatefi Mofrad,Goalkeeper,"Jan 9, 1991 ",33,"['Belgium', 'Iran']",Belgium,Uccle,"1,83",-,
,Jef Snyders,Goalkeeper,"Jan 21, 1991 ",33,['Belgium'],Belgium,,,-,
,Joseph Biersard,Goalkeeper,"Apr 29, 1991 ",32,['Belgium'],Belgium,Verviers,"1,84",-,
22.0,Thomas Minsart,Goalkeeper,"Mar 15, 1991 ",33,['Belgium'],Belgium,Charleroi,"1,83",-,
,Simon Wagner,Goalkeeper,"Jul 5, 1991 ",32,['Belgium'],Belgium,Tongeren,"1,83",-,
1.0,Thibaut Courtois,Goalkeeper,"May 11, 1992 ",31,['Belgium'],Belgium,Bree,"2,00",€30.00m,
26.0,Matz Sels,Goalkeeper,"Feb 26, 1992 ",32,['Belgium'],Belgium,Lint,"1,88",€7.00m,
30.0,Laurent Henkinet,Goalkeeper,"Sep 14, 1992 ",31,['Belgium'],Belgium,Rocourt,"1,88",€300k,
,Thijs De Boevere,Goalkeeper,"Feb 5, 1992 ",32,['Belgium'],Belgium,,"1,96",-,
1.0,Lars Knipping,Goalkeeper,"Jan 15, 1992 ",32,['Belgium'],Belgium,Geraardsbergen,"1,88",-,
1.0,Gilles Lentz,Goalkeeper,"Feb 1, 1992 ",32,['Belgium'],Belgium,Liège,,-,
23.0,Stefan Roef,Goalkeeper,"Feb 27, 1992 ",32,['Belgium'],Belgium,,"1,90",-,
,Jordi De Jonghe,Goalkeeper,"Apr 3, 1992 ",31,['Belgium'],Belgium,Beveren,,-,
1.0,Koen Casteels,Goalkeeper,"Jun 25, 1992 ",31,['Belgium'],Belgium,Bonheiden,"1,97",€8.00m,
24.0,Thomas Kaminski,Goalkeeper,"Oct 23, 1992 ",31,"['Belgium', 'Poland']",Belgium,Dendermonde,"1,90",€2.80m,
26.0,Colin Coosemans,Goalkeeper,"Aug 3, 1992 ",31,['Belgium'],Belgium,Gent,"1,84",€200k,
,Matthias Algoet,Goalkeeper,"May 7, 1992 ",31,['Belgium'],Belgium,Gent,,-,
,Glenn Vromans,Goalkeeper,"Nov 16, 1992 ",31,['Belgium'],Belgium,Lommel,,-,
,Sten Vandenbossche,Goalkeeper,"Jan 30, 1992 ",32,['Belgium'],Belgium,Antwerpen,"1,82",-,
1.0,Jelle Merckx,Goalkeeper,"Jan 2, 1992 ",32,['Belgium'],Belgium,Sint-Niklaas,"1,83",-,
1.0,Hendrik Van Crombrugge,Goalkeeper,"Apr 30, 1993 ",30,['Belgium'],Belgium,Leuven,"1,87",€1.80m,
26.0,Jorn Brondeel,Goalkeeper,"Sep 7, 1993 ",30,['Belgium'],Belgium,Wetteren,"1,88",€250k,
,Nicolas Lemaire,Goalkeeper,"Jul 20, 1993 ",30,['Belgium'],Belgium,Mons,"2,02",-,
,Nick Adriaensen,Goalkeeper,"Jan 1, 1993 ",31,['Belgium'],Belgium,,,-,
1.0,Jeroen Hofmans,Goalkeeper,"Oct 23, 1993 ",30,['Belgium'],Belgium,Brasschaat,"1,88",-,
,Salvatore Crimi,Goalkeeper,"Jul 9, 1993 ",30,"['Belgium', 'Italy']",Belgium,Namur,"1,82",-,
1.0,Louis Bostyn,Goalkeeper,"Oct 4, 1993 ",30,['Belgium'],Belgium,Roeselare,"1,95",€300k,
,Miguel Van Damme,Goalkeeper,"Sep 25, 1993","Sep 25, 1993",['Belgium'],Belgium,Gent,"1,82",-,
,Clint Alliet,Goalkeeper,"Mar 6, 1993 ",31,['Belgium'],Belgium,Brüssel,"1,84",-,
,Yoran Chalon,Goalkeeper,"Apr 27, 1993 ",30,['Belgium'],Belgium,Soignies,"1,87",-,
1.0,Robin Dengis,Goalkeeper,"Jan 5, 1993 ",31,['Belgium'],Belgium,Rocourt,"1,85",-,
,Luka Lazitch,Goalkeeper,"Feb 8, 1993 ",31,['Belgium'],Belgium,Charleroi,"1,86",-,
33.0,Davy Roef,Goalkeeper,"Feb 6, 1994 ",30,['Belgium'],Belgium,Rumst,"1,87",€1.50m,
,Allan Toubeau,Goalkeeper,"Oct 15, 1994 ",29,['Belgium'],Belgium,La Louvière,"1,81",-,
,Ilias Rchidi,Goalkeeper,"May 23, 1994 ",29,"['Morocco', 'Belgium']",Belgium,Eeklo,,-,
,Renaud Dotremont,Goalkeeper,"Mar 14, 1994 ",30,['Belgium'],Belgium,Geldenaken,"1,87",-,
,Arthur Hannes,Goalkeeper,"Aug 10, 1994 ",29,['Belgium'],Belgium,Leuven,"1,85",-,
,Roland Máté,Goalkeeper,"Dec 4, 1994 ",29,['Hungary'],Belgium,Kortrijk,"1,80",-,
,Quentin Simonis,Goalkeeper,"Feb 15, 1994 ",30,['Belgium'],Belgium,Verviers,"1,76",-,
,Glenn Daniëls,Goalkeeper,"Jun 30, 1994 ",29,['Belgium'],Belgium,Brussel,"1,96",-,
,Adrien Faidherbe,Goalkeeper,"Jul 12, 1994 ",29,['Belgium'],Belgium,,"1,81",-,
28.0,Guillaume Hubert,Goalkeeper,"Jan 11, 1994 ",30,['Belgium'],Belgium,Charleroi,"1,98",€400k,
34.0,Bram Valkeners,Goalkeeper,"May 17, 1994 ",29,['Belgium'],Belgium,,"1,88",-,
,Pierre-Marie Huntz,Goalkeeper,"May 15, 1994 ",29,['Belgium'],Belgium,Ukkel,"1,86",-,
1.0,Kenneth Leemans,Goalkeeper,"Apr 14, 1994 ",29,['Belgium'],Belgium,Jette,"1,82",-,
,Oguzhan Demirci,Goalkeeper,"Jun 9, 1994 ",29,"['Belgium', 'Türkiye']",Belgium,Heusden Zolder,"1,88",-,
,Wouter Cochet,Goalkeeper,"Jan 31, 1994 ",30,['Belgium'],Belgium,Leuven,"1,77",-,
1.0,Merveille Goblet,Goalkeeper,"Nov 20, 1994 ",29,"['Belgium', 'DR Congo']",Belgium,Jette,"1,80",-,
1.0,Stijn Wertelaers,Goalkeeper,"Apr 19, 1994 ",29,['Belgium'],Belgium,Bree,,-,
,Sven Dhoest,Goalkeeper,"Apr 9, 1994 ",29,['Belgium'],Belgium,Brugge,"1,86",-,
95.0,Lucas Pirard,Goalkeeper,"Mar 10, 1995 ",29,['Belgium'],Belgium,Sprimont,"1,91",€300k,
,Nico Corti,Goalkeeper,"Jun 2, 1995 ",28,['Belgium'],Belgium,Brussels,"1,90",-,
20.0,Bo Geens,Goalkeeper,"Aug 10, 1995 ",28,['Belgium'],Belgium,Mechelen,"1,85",-,
,Steven Verheyen,Goalkeeper,"Aug 2, 1995 ",28,['Belgium'],Belgium,,,-,
20.0,Nick Gillekens,Goalkeeper,"Jul 5, 1995 ",28,['Belgium'],Belgium,Leuven,"1,86",€250k,
,Sebastien Zucca,Goalkeeper,"Aug 1, 1995 ",28,['Belgium'],Belgium,Verviers,"1,78",-,
,Damiano Perazzelli,Goalkeeper,"May 21, 1995 ",28,"['Belgium', 'Italy']",Belgium,Liège,"1,85",-,
1.0,Liam Bossin,Goalkeeper,"Jul 15, 1996 ",27,"['Ireland', 'Belgium']",Belgium,Woluwe-Saint-Pierre,"1,90",€400k,
,Jari Mertens,Goalkeeper,"Feb 3, 1996 ",28,['Belgium'],Belgium,Asse,"1,88",-,
,Thomas Hooyberghs,Goalkeeper,"Jul 26, 1996 ",27,['Belgium'],Belgium,Arendonk,,-,
,Senne Vits,Goalkeeper,"Aug 31, 1996 ",27,['Belgium'],Belgium,Leuven,,-,
,Mathieu Vanderschaeghe,Goalkeeper,"May 14, 1996 ",27,['Belgium'],Belgium,Tielt,,-,
,Julien Wets,Goalkeeper,"Sep 11, 1996 ",27,['Belgium'],Belgium,Liège,,-,
,Lennert Baerts,Goalkeeper,"Sep 1, 1996 ",27,['Belgium'],Belgium,Hasselt,,-,
1.0,Xavier Gies,Goalkeeper,"Dec 27, 1996 ",27,['Belgium'],Belgium,,"1,82",€300k,
1.0,Jeffrey Pauwels,Goalkeeper,"Mar 23, 1996 ",28,['Belgium'],Belgium,,,-,
,Brian Gielen,Goalkeeper,"Sep 23, 1996 ",27,['Belgium'],Belgium,,"1,89",-,
,Stéfano Maricosu,Goalkeeper,"Jul 18, 1996 ",27,"['Belgium', 'Italy']",Belgium,Charleroi,"1,81",-,
70.0,Oussayd Belkouch,Goalkeeper,"Jan 15, 1996 ",28,"['Morocco', 'Belgium']",Belgium,Antwerpen,"1,84",-,
,Sascha Saigal,Goalkeeper,"Feb 15, 1996 ",28,['Belgium'],Belgium,La Louvière,,-,
29.0,Nordin Jackers,Goalkeeper,"Sep 5, 1997 ",26,['Belgium'],Belgium,Veldwezelt,"1,87",€400k,
,Dennis Wijns,Goalkeeper,"May 12, 1997 ",26,['Belgium'],Belgium,Averbode,,-,
,Wouter Nijsen,Goalkeeper,"Jan 24, 1997 ",27,['Belgium'],Belgium,Kinrooi,,-,
,Heathcliff Collin,Goalkeeper,"Nov 6, 1997 ",26,"['Belgium', 'Luxembourg']",Belgium,,"1,79",-,
31.0,Maxim Figys,Goalkeeper,"Feb 18, 1997 ",27,['Belgium'],Belgium,,,-,
,Mathias Van Staay,Goalkeeper,"Dec 26, 1997 ",26,['Belgium'],Belgium,,,-,
,Dries Verborgt,Goalkeeper,"Apr 8, 1997 ",26,['Belgium'],Belgium,Gent,,-,
1.0,Gilles Deusings,Goalkeeper,"Nov 17, 1997 ",26,['Belgium'],Belgium,Dalhem,"1,84",-,
1.0,Yanni De Vriendt,Goalkeeper,"Feb 21, 1997 ",27,['Belgium'],Belgium,,,-,
1.0,Quintijn Steelant,Goalkeeper,"Jan 30, 1997 ",27,['Belgium'],Belgium,Brugge,"1,85",-,
97.0,Ortwin De Wolf,Goalkeeper,"Apr 23, 1997 ",26,['Belgium'],Belgium,,"1,90",€300k,
,Hakim Bahar,Goalkeeper,"Feb 26, 1997 ",27,['Belgium'],Belgium,Seraing,,-,
,Anwar Houmani,Goalkeeper,"Jun 25, 1997 ",26,['Belgium'],Belgium,Antwerpen,"1,92",-,
1.0,Yarne Arrazola De Onâte,Goalkeeper,"Aug 25, 1997 ",26,['Belgium'],Belgium,,,-,
,Zeb Van Gerven,Goalkeeper,"Apr 13, 1997 ",26,['Belgium'],Belgium,Jette,"1,83",-,
,Stijn Jeurissen,Goalkeeper,"Jan 22, 1997 ",27,['Belgium'],Belgium,Genk,"1,88",-,
,Anthony Swolfs,Goalkeeper,"Nov 25, 1997 ",26,['Belgium'],Belgium,Malle,"1,94",-,
,Gilles Kempeneers,Goalkeeper,"Oct 4, 1997 ",26,['Belgium'],Belgium,Tienen,"1,84",-,
,Dieter Creemers,Goalkeeper,"Sep 2, 1997 ",26,['Belgium'],Belgium,,"1,92",-,
16.0,Arnaud Bodart,Goalkeeper,"Mar 11, 1998 ",26,['Belgium'],Belgium,Seraing,"1,86",€6.00m,
12.0,Romain Matthys,Goalkeeper,"Jul 10, 1998 ",25,['Belgium'],Belgium,Seraing,"1,83",€400k,
12.0,Antoine Lejoly,Goalkeeper,"Mar 26, 1998 ",25,['Belgium'],Belgium,Verviers,"1,87",€50k,
,Yoran Verdeyen,Goalkeeper,"Feb 5, 1998 ",26,['Belgium'],Belgium,,,-,
,Bünyamin Emanet,Goalkeeper,"Oct 26, 1998 ",25,"['Belgium', 'Bosnia-Herzegovina']",Belgium,Genk,"1,90",-,
,Canberk Güler,Goalkeeper,"Jul 17, 1998 ",25,"['Belgium', 'Türkiye']",Belgium,Brussel,"1,86",-,
40.0,Clément Libertiaux,Goalkeeper,"Feb 21, 1998 ",26,['Belgium'],Belgium,Namur,"1,85",-,
1.0,Lucas Alfieri,Goalkeeper,"Mar 19, 1998 ",26,"['Belgium', 'Italy']",Belgium,,"1,89",-,
,Adriano Cipollina,Goalkeeper,"Jul 28, 1998 ",25,"['Belgium', 'Italy']",Belgium,,"1,72",-,
,Davide Bochicchio,Goalkeeper,"Apr 13, 1998 ",25,"['Italy', 'Belgium']",Belgium,Mons,,-,
16.0,Mathias Janssens,Goalkeeper,"Mar 9, 1998 ",26,['Belgium'],Belgium,Brussel,"1,86",-,
1.0,Gaëtan Coucke,Goalkeeper,"Nov 3, 1998 ",25,['Belgium'],Belgium,Tongeren,"1,87",€2.50m,
1.0,Jens Teunckens,Goalkeeper,"Jan 30, 1998 ",26,['Belgium'],Belgium,Geel,"1,86",€300k,
13.0,Julien Devriendt,Goalkeeper,"Nov 25, 1998 ",25,['Belgium'],Belgium,Vilvoorde,"1,89",€25k,
,Fabio Vandenbossche,Goalkeeper,"Nov 19, 1998 ",25,"['Belgium', 'Chile']",Belgium,Asse,,-,
22.0,Simon Van Brussel,Goalkeeper,"Mar 24, 1998 ",25,['Belgium'],Belgium,Gand,"1,90",-,
,Alexandre Panagiotou,Goalkeeper,"Nov 17, 1998 ",25,"['Belgium', 'Greece']",Belgium,La Louvière,"1,83",-,
28.0,Vincent Rousseau,Goalkeeper,"Nov 5, 1998 ",25,['Belgium'],Belgium,Mont-Saint-Guibert,"1,82",-,
,Kristof Wymeersch,Goalkeeper,"May 2, 1998 ",25,['Belgium'],Belgium,,,-,
,Kevin Truyts,Goalkeeper,"Jun 6, 1998 ",25,['Belgium'],Belgium,Bonheiden,"1,83",-,
,Steph Van Cauwenberghe,Goalkeeper,"May 19, 1998 ",25,['Belgium'],Belgium,,,-,
99.0,Mile Svilar,Goalkeeper,"Aug 27, 1999 ",24,"['Serbia', 'Belgium']",Belgium,Antwerpen,"1,89",€4.00m,
1.0,Bill Lathouwers,Goalkeeper,"Sep 18, 1999 ",24,['Belgium'],Belgium,Wilrijk,"1,92",€200k,
13.0,Brent Gabriël,Goalkeeper,"Jan 27, 1999 ",25,['Belgium'],Belgium,Sint-Niklaas,"1,90",€75k,
23.0,Mats Sterkens,Goalkeeper,"Jul 23, 1999 ",24,['Belgium'],Belgium,Lier,"1,86",-,
99.0,Andrew De Reymaeker,Goalkeeper,"Jan 29, 1999 ",25,['Belgium'],Belgium,Sint-Agatha Berchem,"1,80",-,
29.0,Pieter Caubergh,Goalkeeper,"Mar 9, 1999 ",25,['Belgium'],Belgium,,"1,85",-,
23.0,Julien Van Volcem,Goalkeeper,"Jun 29, 1999 ",24,['Belgium'],Belgium,Brugge,"1,81",-,
1.0,Ilias Moutha-Sebtaoui,Goalkeeper,"Apr 1, 1999 ",24,"['Belgium', 'Morocco']",Belgium,Brussel,"1,88",-,
1.0,Olivier Vliegen,Goalkeeper,"Feb 7, 1999 ",25,['Belgium'],Belgium,Bree,"1,90",€300k,
12.0,Jarno De Smet,Goalkeeper,"Feb 5, 1999 ",25,['Belgium'],Belgium,Asse,"1,87",€150k,
,Peter Ebengo-Ngolo,Goalkeeper,"Jan 18, 1999 ",25,['Belgium'],Belgium,Brussel,"1,94",-,
,Florian Thewis,Goalkeeper,"May 25, 1999 ",24,['Belgium'],Belgium,,,-,
,Mirco Polo,Goalkeeper,"Oct 13, 1999 ",24,"['Belgium', 'Italy']",Belgium,Genk,"1,78",-,
,Brecht Mombaerts,Goalkeeper,"Mar 27, 1999 ",24,['Belgium'],Belgium,Leuven,"1,85",-,
,Arne Lekens,Goalkeeper,"Mar 9, 1999 ",25,['Belgium'],Belgium,,,-,
42.0,Jonathan De Bie,Goalkeeper,"May 28, 2000 ",23,['Belgium'],Belgium,Uccle,"1,86",€150k,
21.0,Robin Mantel,Goalkeeper,"Nov 15, 2000 ",23,"['Belgium', 'Netherlands']",Belgium,Brasschaat,"1,98",€50k,
,Maxime Van Aerschot,Goalkeeper,"Sep 16, 2000 ",23,['Belgium'],Belgium,,"1,84",-,
,Tiziano Delmotte,Goalkeeper,"Jan 3, 2000 ",24,['Belgium'],Belgium,Waregem,"1,92",-,
1.0,Corentin Michel,Goalkeeper,"Mar 20, 2000 ",24,['Belgium'],Belgium,Ottignies-Louvain-la-Neuve,"1,87",€100k,
1.0,Gian Geladé,Goalkeeper,"Sep 23, 2000 ",23,['Belgium'],Belgium,Genk,"1,86",-,
16.0,Arthur Cremer,Goalkeeper,"Aug 18, 2000 ",23,['Belgium'],Belgium,Verviers,,-,
,Thomas Willocq,Goalkeeper,"Feb 24, 2000 ",24,['Belgium'],Belgium,,,-,
33.0,Nick Shinton,Goalkeeper,"May 10, 2001 ",22,['Belgium'],Belgium,Aalst,"1,94",€400k,
16.0,Timothy Martin,Goalkeeper,"Mar 27, 2001 ",22,"['Luxembourg', 'Belgium']",Belgium,Arlon,"1,90",€200k,
1.0,Timothy Galjé,Goalkeeper,"Jun 5, 2001 ",22,['Belgium'],Belgium,Duffel,"1,80",€100k,
34.0,Maxime Wenssens,Goalkeeper,"Nov 17, 2001 ",22,"['Rwanda', 'Belgium']",Belgium,Uccle,"1,91",€50k,
,Bavo Coenen,Goalkeeper,"Jan 14, 2001 ",23,['Belgium'],Belgium,,"1,85",-,
,Salvatore Ciulla,Goalkeeper,"May 30, 2001 ",22,['Belgium'],Belgium,Aalst,,-,
20.0,Victor Swinnen,Goalkeeper,"Mar 20, 2001 ",23,['Belgium'],Belgium,Lasne,"1,88",-,
21.0,Maxime Delanghe,Goalkeeper,"May 23, 2001 ",22,['Belgium'],Belgium,Halle,"1,89",€300k,
33.0,Rik Vercauteren,Goalkeeper,"Jun 8, 2001 ",22,['Belgium'],Belgium,Beveren,"1,86",€100k,
99.0,Tom Roufosse,Goalkeeper,"Mar 28, 2001 ",22,['Belgium'],Belgium,Liège,"1,82",€50k,
,Nicholas Deman,Goalkeeper,"Jun 28, 2001 ",22,['Belgium'],Belgium,Antwerpen,"1,88",-,
,Eymen Eryılmaz,Goalkeeper,"Feb 20, 2001 ",23,"['Türkiye', 'Belgium']",Belgium,Seraing,"1,87",-,
,Kerian Atheba,Goalkeeper,"May 31, 2001 ",22,['Belgium'],Belgium,Brussels,"1,87",-,
,Victor Camps,Goalkeeper,"Mar 14, 2001 ",23,['Belgium'],Belgium,Turnhout,"1,85",-,
26.0,Maarten Vandevoordt,Goalkeeper,"Feb 26, 2002 ",22,['Belgium'],Belgium,Sint-Truiden,"1,92",€11.00m,
91.0,Senne Lammens,Goalkeeper,"Jul 7, 2002 ",21,['Belgium'],Belgium,Zottegem,"1,93",€700k,
12.0,Senne Goossens,Goalkeeper,"Sep 27, 2002 ",21,['Belgium'],Belgium,Mechelen,"1,72",-,
25.0,Yari Deltour,Goalkeeper,"Feb 14, 2002 ",22,['Belgium'],Belgium,Leuven,"1,87",-,
25.0,Martijn Beernaert,Goalkeeper,"Oct 3, 2002 ",21,['Belgium'],Belgium,Ieper,"1,88",-,
,Lillo Guarneri,Goalkeeper,"May 8, 2002 ",21,"['Italy', 'Belgium']",Belgium,Liège,"1,88",-,
1.0,Tobe Leysen,Goalkeeper,"Mar 9, 2002 ",22,['Belgium'],Belgium,Geel,"1,89",€2.50m,
91.0,Richmond Badu,Goalkeeper,"May 3, 2002 ",21,['Belgium'],Belgium,Oostende,"1,90",€25k,
1.0,Wim Vanmarsenille,Goalkeeper,"Jul 31, 2002 ",21,['Belgium'],Belgium,,,-,
