Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions
,Bruno Ferreira,Goalkeeper,"Jun 18, 1987 ",36,['Portugal'],Portugal,,,,,
1.0,Marcos Ferreira,Goalkeeper,"Apr 9, 1987 ",36,"['Portugal', 'Venezuela']",Portugal,Figueira da Foz,,"1,83",,
,Délcio,Goalkeeper,"Jul 23, 1987 ",36,['Portugal'],Portugal,Angra do Heroísmo,,"1,75",,
,Campos,Goalkeeper,"Apr 5, 1987 ",37,['Portugal'],Portugal,Águeda,,"1,85",,
,Hélder Ribeiro,Goalkeeper,"Jul 11, 1987 ",36,['Portugal'],Portugal,Vila Nova de Famalicão,,"1,84",,
,Ricardo Janota,Goalkeeper,"Mar 10, 1987 ",37,['Portugal'],Portugal,Sintra,,"1,90",,
,Vítor Vareiro,Goalkeeper,"Feb 20, 1987 ",37,['Portugal'],Portugal,Póvoa de Varzim,,"1,91",,
,Jorge Machado Borges,Goalkeeper,"Jun 12, 1987 ",36,['Portugal'],Portugal,Lissabon,,,,
30.0,Hugo Cardoso,Goalkeeper,"Feb 2, 1987 ",37,['Portugal'],Portugal,Lisboa,,"1,85",,
1.0,Rui Patrício,Goalkeeper,"Feb 15, 1988 ",36,['Portugal'],Portugal,Leiria,,"1,90",,
1.0,Ricardo Moura,Goalkeeper,"Dec 14, 1988 ",35,['Portugal'],Portugal,Valongo,,"1,84",,
,Janita,Goalkeeper,"Jul 11, 1988 ",35,['Portugal'],Portugal,São João da Madeira,,,,
,João Azul,Goalkeeper,"Apr 17, 1988 ",35,['Portugal'],Portugal,Vila Real de Santo António,,,,
,Tiago Jorge,Goalkeeper,"Mar 3, 1988 ",36,['Portugal'],Portugal,Pinhal Novo,,"1,86",,
,Luís Espinha,Goalkeeper,"Jan 4, 1988 ",36,['Portugal'],Portugal,Guimarães,,"1,74",,
1.0,Filipe Soares,Goalkeeper,"Dec 20, 1988 ",35,['Portugal'],Portugal,Açores,,"1,91",,
,Sérgio Nobre,Goalkeeper,"Jun 15, 1988 ",35,['Portugal'],Portugal,Cadaval,,"1,78",,
24.0,Manuel Gama,Goalkeeper,"May 26, 1988 ",35,['Portugal'],Portugal,Anadia,,"1,90",,
,Vítor Gamito,Goalkeeper,"Mar 9, 1988 ",36,['Portugal'],Portugal,Chaves,,"1,88",,
,Hugo Ventura,Goalkeeper,"Jan 14, 1988 ",36,['Portugal'],Portugal,Vila Nova de Gaia,,"1,88",,
88.0,Pedro Trigueira,Goalkeeper,"Jan 4, 1988 ",36,['Portugal'],Portugal,Paredes,,"1,92",,
,João Fernandes,Goalkeeper,"Feb 10, 1988 ",36,['Portugal'],Portugal,Viana do Castelo,,"1,86",,
12.0,Luís Marques,Goalkeeper,"Oct 13, 1988 ",35,['Portugal'],Portugal,Vila Viçosa,,"1,76",,
,Diogo Soares,Goalkeeper,"Apr 3, 1988 ",36,['Portugal'],Portugal,Lisboa,,"1,85",,
,Tiago Ribeiro,Goalkeeper,"Jul 24, 1988 ",35,['Portugal'],Portugal,Braga,,,,
1.0,Carlos Nabais,Goalkeeper,"Feb 6, 1988 ",36,['Portugal'],Portugal,Entroncamento,,"1,83",,
,Hugo Pereira,Goalkeeper,"Mar 22, 1988 ",36,['Portugal'],Portugal,,,,,
24.0,Vítor Nogueira,Goalkeeper,"Feb 9, 1988 ",36,['Portugal'],Portugal,Covilhã,,"1,83",,
,Marcelo Deodato,Goalkeeper,"Jun 20, 1988 ",35,['Portugal'],Portugal,Lisboa,,"1,90",,
,Óscar,Goalkeeper,"Nov 4, 1988 ",35,['Portugal'],Portugal,Barcelos,,"1,88",,
,Marco Pinto,Goalkeeper,"Mar 22, 1988 ",36,['Portugal'],Portugal,Lisboa,,"1,82",,
,Ricardo Ferreira,Goalkeeper,"Dec 3, 1989 ",34,['Portugal'],Portugal,Braga,,"1,86",,
,Paulo Rocha,Goalkeeper,"Apr 18, 1989 ",34,['Portugal'],Portugal,Melres,,"1,87",,
1.0,Xuteiras,Goalkeeper,"Mar 6, 1989 ",35,['Portugal'],Portugal,,,,,
,Rui Oliveira,Goalkeeper,"Jan 9, 1989 ",35,['Portugal'],Portugal,Alcobaça,,"1,75",,
1.0,Joel Rosária,Goalkeeper,"Nov 22, 1989 ",34,['Portugal'],Portugal,Loulé,,"1,86",,
,André Martins,Goalkeeper,"Oct 12, 1989 ",34,['Portugal'],Portugal,Odivelas,,"1,93",,
1.0,Cárin Gonçalves,Goalkeeper,"Feb 17, 1989 ",35,['Portugal'],Portugal,Funchal,,"1,80",,
24.0,Mauro Leal,Goalkeeper,"Feb 10, 1989 ",35,['Portugal'],Portugal,Coimbra,,"1,80",,
1.0,Renato,Goalkeeper,"May 11, 1989 ",34,['Portugal'],Portugal,Ovar,,"1,83",,
12.0,Daniel Casaleiro,Goalkeeper,"Nov 2, 1989 ",34,['Portugal'],Portugal,Entroncamento,,"1,84",,
,Diego Silva,Goalkeeper,"Oct 3, 1989 ",34,['Portugal'],Portugal,Barcelos,,"1,90",,
82.0,Cajó,Goalkeeper,"Sep 7, 1989 ",34,['Portugal'],Portugal,Vila Nova de Famalicão,,"1,85",,
12.0,Ricardo,Goalkeeper,"Mar 12, 1989 ",35,['Portugal'],Portugal,Mealhada,,"1,76",,
,Rafael Grácio,Goalkeeper,"Feb 4, 1989 ",35,['Portugal'],Portugal,Coimbra,,"1,78",,
12.0,Luís Paulo,Goalkeeper,"Jul 23, 1989 ",34,['Portugal'],Portugal,Caldas da Raínha,,"1,79",,
,Rafael Marques,Goalkeeper,"Sep 11, 1989 ",34,['Portugal'],Portugal,Lisboa,,"1,87",,
,Rui Santos,Goalkeeper,"Apr 2, 1989 ",35,['Portugal'],Portugal,Oeiras,,"1,90",,
,Fábio Mendes,Goalkeeper,"Nov 10, 1989 ",34,['Portugal'],Portugal,Sertã,,"1,83",,
,Luís Carlos,Goalkeeper,"Jun 10, 1989 ",34,['Portugal'],Portugal,Funchal,,"1,78",,
,Carlitos,Goalkeeper,"May 14, 1989 ",34,['Portugal'],Portugal,Torre de Moncorvo,,"1,80",,
1.0,André Marques,Goalkeeper,"Jan 22, 1989 ",35,['Portugal'],Portugal,Lisboa,,"1,86",,
1.0,Ricardo Neves,Goalkeeper,"Jan 7, 1989 ",35,['Portugal'],Portugal,Coimbra,,"1,86",,
87.0,Ricardo Ribeiro,Goalkeeper,"Jan 27, 1990 ",34,['Portugal'],Portugal,Guimarães,,"1,84",,
,Hélder Teixeira,Goalkeeper,"Apr 7, 1990 ",34,['Portugal'],Portugal,Vila Nova de Gaia,,"1,79",,
,Artur Micha,Goalkeeper,"May 28, 1990 ",33,['Portugal'],Portugal,Porto,,"1,75",,
1.0,João Janela,Goalkeeper,"Dec 5, 1990 ",33,['Portugal'],Portugal,Castelo de Vide,,,,
13.0,Fábio Carvalho,Goalkeeper,"Feb 4, 1990 ",34,['Portugal'],Portugal,Vila Nova de Gaia,,"1,86",,
,Nélson Teixeira,Goalkeeper,"Apr 4, 1990 ",34,['Portugal'],Portugal,Peñafiel,,,,
1.0,Miguel Soares,Goalkeeper,"Dec 15, 1990 ",33,['Portugal'],Portugal,Lisboa,,"1,84",,
,João Macão,Goalkeeper,"May 27, 1990 ",33,['Portugal'],Portugal,Entrocamento,,,,
,Vicente,Goalkeeper,"Sep 16, 1990 ",33,['Portugal'],Portugal,Azurém,,"1,86",,
,Tiago Macieira,Goalkeeper,"Mar 12, 1990 ",34,['Portugal'],Portugal,Freamunde,,"1,70",,
,Fábio Sapateiro,Goalkeeper,"Aug 18, 1990 ",33,['Portugal'],Portugal,Arrentela,,"1,83",,
,João Aragão,Goalkeeper,"Nov 23, 1990 ",33,['Portugal'],Portugal,Lisboa,,"1,87",,
,Ruca,Goalkeeper,"Jan 7, 1990 ",34,['Portugal'],Portugal,Tábua,,"1,84",,
43.0,Miguel Pardal,Goalkeeper,"Dec 19, 1990 ",33,['Portugal'],Portugal,Penedo Gordo,,"1,78",,
,Pedro Freitas,Goalkeeper,"May 21, 1990 ",33,['Portugal'],Portugal,Gondomar,,"1,94",,
1.0,Cesteiro,Goalkeeper,"Jan 2, 1990 ",34,['Portugal'],Portugal,Ponte da Barca,,"1,77",,
29.0,Rafa,Goalkeeper,"Jul 27, 1990 ",33,['Portugal'],Portugal,,,"1,84",,
,Rúben Borges,Goalkeeper,"Mar 1, 1990 ",34,['Portugal'],Portugal,Budens,,"1,86",,
,Emanuel Vieira,Goalkeeper,"May 15, 1990 ",33,['Portugal'],Portugal,Figueira da Foz,,,,
,João Ricardo,Goalkeeper,"Oct 1, 1990 ",33,['Portugal'],Portugal,Lisboa,,"2,08",,
,João Cruz,Goalkeeper,"Jun 26, 1990 ",33,['Portugal'],Portugal,Vila Nova de Famalicão,,"1,87",,
29.0,Leonardo,Goalkeeper,"Dec 8, 1990 ",33,['Portugal'],Portugal,Porto,,"1,90",,
30.0,Tiago Rocha,Goalkeeper,"Sep 4, 1990 ",33,['Portugal'],Portugal,Penafiel,,"1,81",,
,Pedro Velho,Goalkeeper,"May 12, 1990 ",33,['Portugal'],Portugal,Ponte de Lima,,"1,82",,
,Diogo Freire,Goalkeeper,"Mar 30, 1990 ",34,['Portugal'],Portugal,Vendas Novas,,"1,85",,
14.0,Cláudio Ramos,Goalkeeper,"Nov 16, 1991 ",32,['Portugal'],Portugal,Viseu,,"1,83",,
12.0,João Rosa,Goalkeeper,"Oct 31, 1991 ",32,['Portugal'],Portugal,Pego,,"1,82",,
,Filipe Cunha,Goalkeeper,"Jan 29, 1991 ",33,['Portugal'],Portugal,Porto,,"1,83",,
78.0,Bruno Pini,Goalkeeper,"Aug 31, 1991 ",32,['Portugal'],Portugal,Chaves,,"1,79",,
,João Bernardo,Goalkeeper,"May 1, 1991 ",32,['Portugal'],Portugal,Santarém,,"1,84",,
,Daniel De Oliveira Bessa,Goalkeeper,"Jan 4, 1991 ",33,['Portugal'],Portugal,Porto,,,,
36.0,Diogo Almeida,Goalkeeper,"Dec 7, 1991 ",32,['Portugal'],Portugal,São João da Madeira,,"1,83",,
,Jorge Vieira,Goalkeeper,"Jan 8, 1991 ",33,['Portugal'],Portugal,Porto,,"1,85",,
,Nélson,Goalkeeper,"Sep 18, 1991 ",32,"['Portugal', 'Spain']",Portugal,,,"1,89",,
35.0,João Guerra,Goalkeeper,"Sep 25, 1991 ",32,['Portugal'],Portugal,Marinha Grande,,"1,86",,
,Ruben Luís,Goalkeeper,"Jun 27, 1991 ",32,['Portugal'],Portugal,Alcobaça,,"1,75",,
17.0,Ivo Lima,Goalkeeper,"May 31, 1991 ",32,['Portugal'],Portugal,Açores,,"1,88",,
1.0,Dinis Faria,Goalkeeper,"Apr 15, 1991 ",32,['Portugal'],Portugal,Horta,,"1,85",,
1.0,Miguel Sousa,Goalkeeper,"Aug 9, 1991 ",32,['Portugal'],Portugal,,,"1,77",,
,João Ascenso,Goalkeeper,"Apr 9, 1991 ",32,['Portugal'],Portugal,Lisboa,,"1,87",,
24.0,Marco Jesus,Goalkeeper,"Nov 23, 1991 ",32,['Portugal'],Portugal,Funchal,,"1,83",,
,João Pedro,Goalkeeper,"Jun 13, 1991 ",32,['Portugal'],Portugal,Canedo,,"1,80",,
22.0,Nuno Hidalgo,Goalkeeper,"Nov 6, 1991 ",32,['Portugal'],Portugal,Sobral de Monte Agraço,,"1,84",,
12.0,Rui Vieira,Goalkeeper,"Nov 13, 1991 ",32,['Portugal'],Portugal,Braga,,"1,89",,
,Fábio Rabaldo,Goalkeeper,"Oct 11, 1991 ",32,['Portugal'],Portugal,Póvoa de Varzim,,"1,82",,
,Tiago Guedes,Goalkeeper,"Jan 31, 1991 ",33,['Portugal'],Portugal,Chaves,,"1,87",,
,Fábio Pereira,Goalkeeper,"Apr 21, 1991 ",32,['Portugal'],Portugal,Barcelos,,"1,83",,
23.0,Emanuel Novo,Goalkeeper,"Aug 26, 1992 ",31,['Portugal'],Portugal,Vila do Conde,,"1,91",,
,Luís Rosado,Goalkeeper,"Sep 10, 1992 ",31,['Portugal'],Portugal,Reguengos de Monsaraz,,"1,81",,
24.0,Hélio,Goalkeeper,"May 7, 1992 ",31,['Portugal'],Portugal,Santa Maria de Lamas,,,,
,Edir Vasconcelos,Goalkeeper,"Aug 19, 1992 ",31,['Portugal'],Portugal,Funchal,,"1,78",,
,João Mendes,Goalkeeper,"Feb 1, 1992 ",32,"['Portugal', 'Angola']",Portugal,,,"1,82",,
92.0,Luís,Goalkeeper,"Dec 10, 1992 ",31,['Portugal'],Portugal,Alfena,,"1,84",,
,João Luís,Goalkeeper,"Nov 20, 1992 ",31,['Portugal'],Portugal,Braga,,"1,84",,
1.0,Fábio Reis,Goalkeeper,"Jan 28, 1992 ",32,['Portugal'],Portugal,Setúbal,,"1,81",,
,André,Goalkeeper,"Feb 15, 1992 ",32,['Portugal'],Portugal,Castelo Branco,,"1,81",,
,Pedro Cavadas,Goalkeeper,"Mar 6, 1992 ",32,['Portugal'],Portugal,Alfena,,"1,87",,
,Tozé,Goalkeeper,"Oct 25, 1992 ",31,['Portugal'],Portugal,Esposende,,"1,79",,
,Ricardo,Goalkeeper,"Mar 9, 1992 ",32,['Portugal'],Portugal,Vila Nova de Famalicão,,"1,82",,
,Hugo Pinto,Goalkeeper,"May 23, 1992 ",31,['Portugal'],Portugal,Almada,,"1,90",,
,Hugo,Goalkeeper,"Nov 16, 1992 ",31,['Portugal'],Portugal,Lourosa,,,,
21.0,Miguel Cruz,Goalkeeper,"Jul 23, 1992 ",31,['Portugal'],Portugal,Aljustrel,,"1,81",,
99.0,Kyle Pereira,Goalkeeper,"Dec 15, 1992 ",31,['Portugal'],Portugal,Madalena do Pico,,"1,82",,
,Simão Silva,Goalkeeper,"Oct 28, 1992 ",31,['Portugal'],Portugal,Vila Mea,,,,
24.0,Bruno Pinto,Goalkeeper,"Jun 9, 1992 ",31,['Portugal'],Portugal,Valongo,,"1,84",,
,Diogo Melo,Goalkeeper,"Aug 16, 1992 ",31,['Portugal'],Portugal,Sé Nova- Coimbra,,"1,95",,
,Vítor Vieira,Goalkeeper,"Sep 14, 1992 ",31,['Portugal'],Portugal,Povoação - São Miguel,,"1,77",,
,Luís Pedro,Goalkeeper,"Feb 4, 1992 ",32,['Portugal'],Portugal,Sertã,,"1,85",,
1.0,Vítor São Bento,Goalkeeper,"Aug 9, 1992 ",31,['Portugal'],Portugal,Barcelos,,"1,90",,
,Carlos Gomes,Goalkeeper,"Mar 17, 1992 ",32,['Portugal'],Portugal,,,"1,81",,
,Fábio Santos,Goalkeeper,"Nov 14, 1992 ",31,['Portugal'],Portugal,Penafiel,,"1,87",,
,Pedro Pereira,Goalkeeper,"May 22, 1992 ",31,['Portugal'],Portugal,Vila Real de Santo António,,"1,85",,
,João Pinho,Goalkeeper,"Apr 30, 1992 ",31,['Portugal'],Portugal,Oliveira de Azemeis,,"1,89",,
,Miguel Assunção,Goalkeeper,"Jan 12, 1992 ",32,['Portugal'],Portugal,Fornos,,"1,90",,
1.0,Luís Ribeiro,Goalkeeper,"Apr 19, 1992 ",31,['Portugal'],Portugal,Lisboa,,"1,88",,
,Daniel Simoes,Goalkeeper,"Apr 5, 1992 ",32,"['Portugal', 'Luxembourg']",Portugal,,,,,
,Tiago Maia,Goalkeeper,"Sep 18, 1992 ",31,['Portugal'],Portugal,Gondomar,,"1,81",,
,Adolfo Leite,Goalkeeper,"Mar 8, 1992 ",32,['Portugal'],Portugal,Lisboa,,"1,83",,
1.0,João Figueiredo,Goalkeeper,"Feb 2, 1992 ",32,['Portugal'],Portugal,Fermentelos,,"1,85",,
1.0,José Sá,Goalkeeper,"Jan 17, 1993 ",31,['Portugal'],Portugal,Braga,,"1,92",,
1.0,Tiago Coelho,Goalkeeper,"Mar 18, 1993 ",31,['Portugal'],Portugal,,,,,
1.0,Moreira,Goalkeeper,"Mar 2, 1993 ",31,['Portugal'],Portugal,Porto,,"1,91",,
24.0,Mocheco,Goalkeeper,"Dec 30, 1993 ",30,['Portugal'],Portugal,Batalha,,"1,83",,
24.0,Miguel Fernandes,Goalkeeper,"Jun 17, 1993 ",30,['Portugal'],Portugal,Guimarães,,"1,84",,
90.0,Nuno Dias,Goalkeeper,"Oct 14, 1993 ",30,['Portugal'],Portugal,,,"1,90",,
1.0,Wilson Soares,Goalkeeper,"Mar 13, 1993 ",31,['Portugal'],Portugal,Porto de Mós,,"1,90",,
,Tiago Marinheiro,Goalkeeper,"Aug 19, 1993 ",30,['Portugal'],Portugal,Montijo,,"1,97",,
1.0,Rui Lopes,Goalkeeper,"Dec 28, 1993 ",30,['Portugal'],Portugal,Guimarães,,"1,88",,
,João Marreiros,Goalkeeper,"Sep 20, 1993 ",30,['Portugal'],Portugal,Seixal,,"1,85",,
,Namir Queni,Goalkeeper,"Dec 16, 1993 ",30,"['Portugal', 'Sao Tome and Principe']",Portugal,Lisboa,,"1,98",,
,Bruno Martins,Goalkeeper,"Dec 11, 1993 ",30,['Portugal'],Portugal,Esposende,,"1,85",,
,Igor Rocha,Goalkeeper,"Mar 4, 1993 ",31,['Portugal'],Portugal,Santa Maria da Feira,,"1,84",,
99.0,Carlos Henriques,Goalkeeper,"Jul 7, 1993 ",30,['Portugal'],Portugal,Silves,,"1,84",,
1.0,Ângelo Martins,Goalkeeper,"Jul 31, 1993 ",30,['Portugal'],Portugal,Leiria,,"1,88",,
,Camané,Goalkeeper,"Oct 5, 1993 ",30,['Portugal'],Portugal,Campo Maior,,,,
,Luís Pedrosa,Goalkeeper,"Jun 12, 1993 ",30,['Portugal'],Portugal,Alvor,,"1,82",,
1.0,Diogo Silva,Goalkeeper,"May 13, 1993 ",30,['Portugal'],Portugal,Leça da Palmeira,,"1,89",,
,Micael Coelho Pinto,Goalkeeper,"Jul 30, 1993 ",30,['Portugal'],Portugal,,,,,
,Luís,Goalkeeper,"Nov 10, 1993 ",30,['Portugal'],Portugal,Porto,,"1,90",,
,João Cardoso,Goalkeeper,"Dec 22, 1993 ",30,['Portugal'],Portugal,Lisboa,,"1,86",,
,José Marçal,Goalkeeper,"Aug 20, 1993 ",30,['Portugal'],Portugal,Fafe,,"1,86",,
16.0,Tiago Pinto,Goalkeeper,"Apr 16, 1993 ",30,['Portugal'],Portugal,Senhora da Hora,,"1,83",,
,Fábio Oliveira,Goalkeeper,"Sep 1, 1993 ",30,['Portugal'],Portugal,Oliveira de Azeméis,,"1,87",,
,Marcelo Torres,Goalkeeper,"Mar 10, 1993 ",31,['Portugal'],Portugal,Santo Tirso,,"1,78",,
,Elói,Goalkeeper,"Mar 9, 1993 ",31,['Portugal'],Portugal,Covilhã,LB   LM,"1,83",,
77.0,José Chastre,Goalkeeper,"Feb 11, 1993 ",31,['Portugal'],Portugal,Matosinhos,,"1,85",,
,Ricardo Pinto,Goalkeeper,"Jun 12, 1993 ",30,['Portugal'],Portugal,Matosinhos,,"1,83",,
1.0,André Preto,Goalkeeper,"Apr 18, 1993 ",30,['Portugal'],Portugal,Guimarães,,"1,80",,
,Luís Barros,Goalkeeper,"Sep 27, 1993 ",30,['Portugal'],Portugal,Frazão,,"1,83",,
12.0,Pedro Carvalho,Goalkeeper,"Aug 12, 1993 ",30,['Portugal'],Portugal,Cascais,,"1,88",,
1.0,Rafael Veloso,Goalkeeper,"Nov 3, 1993 ",30,"['Portugal', 'Spain']",Portugal,Lourinhã,,"1,92",,
13.0,Rui Silva,Goalkeeper,"Feb 7, 1994 ",30,['Portugal'],Portugal,Maia,,"1,91",,
16.0,Miguel Oliveira,Goalkeeper,"May 25, 1994 ",29,['Portugal'],Portugal,Guimarães,,"1,96",,
1.0,Rui Dabó,Goalkeeper,"Oct 5, 1994 ",29,"['Guinea-Bissau', 'Portugal']",Portugal,Setúbal,,"1,90",,
97.0,Ivan Dias,Goalkeeper,"Sep 7, 1994 ",29,['Portugal'],Portugal,Sintra,,"1,82",,
12.0,Ricky Costa,Goalkeeper,"Jun 15, 1994 ",29,['Portugal'],Portugal,Angra do Heroísmo,,"1,80",,
,João Cruz,Goalkeeper,"Apr 2, 1994 ",30,['Portugal'],Portugal,Coimbra,,"1,84",,
16.0,Postiga,Goalkeeper,"Aug 7, 1994 ",29,['Portugal'],Portugal,Penafiel,,"1,82",,
,Luís Pedro,Goalkeeper,"Mar 26, 1994 ",30,['Portugal'],Portugal,Coimbra,,"1,82",,
13.0,Jorge Costa,Goalkeeper,"Nov 2, 1994 ",29,['Portugal'],Portugal,,,"1,87",,
,Ricardo Ribeiro Pereira,Goalkeeper,"Dec 25, 1994 ",29,['Portugal'],Portugal,Pedraça,,,,
