Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
,Paulo Cunha,Goalkeeper,"Feb 19, 1986 ",38,Portugal,Portugal,Vila Nova de Famalicao,,"1,91",,,Portugal,,,
52.0,Márcio Guilherme,Goalkeeper,"Jul 10, 1986 ",37,Portugal,Portugal,,,"1,74",,,Portugal,,,
,Salgueiro,Goalkeeper,"May 23, 1986 ",37,Portugal,Portugal,Barcelos,,"1,87",,,Portugal,,,
,João Barroca,Goalkeeper,"Jul 29, 1986 ",37,Portugal,Portugal,Mealhada,,"1,87",,,Portugal,,,
,Castro,Goalkeeper,"Sep 24, 1986 ",37,Portugal,Portugal,Porto,,"1,90",,,Portugal,,,
,Rui Nereu,Goalkeeper,"Feb 4, 1986 ",38,Portugal,Portugal,Torres Novas,,"1,83",,,Portugal,,,
,Fábio Monteiro,Goalkeeper,"Oct 26, 1986 ",37,Portugal,Portugal,Lissabon,,"1,88",,,Portugal,,,
1.0,Hugo Marques,Goalkeeper,"Jan 15, 1986 ",38,"Angola, Portugal",Portugal,Fao,,"1,90",,,Angola, Portugal,,
14.0,José Borracha,Goalkeeper,"Jan 17, 1986 ",38,Portugal,Portugal,Cuba,,"1,84",,,Portugal,,,
1.0,João Oliveira,Goalkeeper,"Jan 28, 1986 ",38,Portugal,Portugal,Ovar,,,,,Portugal,,,
1.0,António Pedro,Goalkeeper,"Jun 5, 1986 ",37,Portugal,Portugal,Lanhelas,,"1,82",,,Portugal,,,
57.0,Paulinho,Goalkeeper,"Jul 27, 1986 ",37,Portugal,Portugal,Braga,,"1,83",,,Portugal,,,
,Carlos Oliveira,Goalkeeper,"Apr 25, 1986 ",37,"Portugal, Switzerland",Portugal,,,,,,Portugal, Switzerland,,
23.0,Manú,Goalkeeper,"Apr 12, 1986 ",37,Portugal,Portugal,Coimbra,,"1,88",,,Portugal,,,
,Pedro Peraltinha,Goalkeeper,"May 25, 1986 ",37,Portugal,Portugal,Beja,,"1,84",,,Portugal,,,
,Mário Felgueiras,Goalkeeper,"Dec 12, 1986 ",37,Portugal,Portugal,Viana do Castelo,,"1,86",,,Portugal,,,
37.0,Bruno Costa,Goalkeeper,"Aug 28, 1986 ",37,Portugal,Portugal,Ferreiras,,"1,87",,,Portugal,,,
,Diogo Santos,Goalkeeper,"Feb 21, 1986 ",38,Portugal,Portugal,Portimao,,"1,82",,,Portugal,,,
1.0,Pedro Freitas,Goalkeeper,"Aug 31, 1986 ",37,Portugal,Portugal,Guimaraes,,"1,86",,,Portugal,,,
28.0,Marafona,Goalkeeper,"May 8, 1987 ",36,Portugal,Portugal,Vila do Conde,,"1,90",,,Portugal,,,
,André Maló,Goalkeeper,"Jul 2, 1987 ",36,Portugal,Portugal,,,"1,80",,,Portugal,,,
,Guilherme Maló,Goalkeeper,"Jul 2, 1987 ",36,Portugal,Portugal,Viseu,,"1,79",,,Portugal,,,
1.0,Rodolfo Barata,Goalkeeper,"Dec 3, 1987 ",36,Portugal,Portugal,Lisboa,,"1,90",,,Portugal,,,
,Tiago Oliveira,Goalkeeper,"Jul 24, 1987 ",36,Portugal,Portugal,Vila Nova de Gaia,,"1,85",,,Portugal,,,
,Dário Brilha,Goalkeeper,"Oct 10, 1987 ",36,Portugal,Portugal,Torres Vedras,,"1,80",,,Portugal,,,
,Nélson,Goalkeeper,"Jan 15, 1987 ",37,Portugal,Portugal,Leiria,,"1,86",,,Portugal,,,
,Tiago Mota,Goalkeeper,"May 20, 1987 ",36,Portugal,Portugal,Sao Sebastiao da Pedreira,,"1,85",,,Portugal,,,
,Dany,Goalkeeper,"Jan 16, 1987 ",37,Portugal,Portugal,Vila Nova de Gaia,,"1,88",,,Portugal,,,
1.0,Igor Araújo,Goalkeeper,"Feb 4, 1987 ",37,Portugal,Portugal,Porto,,"1,81",,,Portugal,,,
1.0,Pedro Soares,Goalkeeper,"Nov 3, 1987 ",36,Portugal,Portugal,Porto,,"1,84",,,Portugal,,,
12.0,Marco Pereira,Goalkeeper,"Jan 12, 1987 ",37,Portugal,Portugal,Castelo de Paiva,,"1,84",,,Portugal,,,
,Bruno Ferreira,Goalkeeper,"Jun 18, 1987 ",36,Portugal,Portugal,,,,,,Portugal,,,
1.0,Marcos Ferreira,Goalkeeper,"Apr 9, 1987 ",36,"Portugal, Venezuela",Portugal,Figueira da Foz,,"1,83",,,Portugal, Venezuela,,
,Délcio,Goalkeeper,"Jul 23, 1987 ",36,Portugal,Portugal,Angra do Heroismo,,"1,75",,,Portugal,,,
,Campos,Goalkeeper,"Apr 5, 1987 ",37,Portugal,Portugal,Agueda,,"1,85",,,Portugal,,,
,Hélder Ribeiro,Goalkeeper,"Jul 11, 1987 ",36,Portugal,Portugal,Vila Nova de Famalicao,,"1,84",,,Portugal,,,
,Ricardo Janota,Goalkeeper,"Mar 10, 1987 ",37,Portugal,Portugal,Sintra,,"1,90",,,Portugal,,,
,Vítor Vareiro,Goalkeeper,"Feb 20, 1987 ",37,Portugal,Portugal,Povoa de Varzim,,"1,91",,,Portugal,,,
,Jorge Machado Borges,Goalkeeper,"Jun 12, 1987 ",36,Portugal,Portugal,Lissabon,,,,,Portugal,,,
30.0,Hugo Cardoso,Goalkeeper,"Feb 2, 1987 ",37,Portugal,Portugal,Lisboa,,"1,85",,,Portugal,,,
1.0,Rui Patrício,Goalkeeper,"Feb 15, 1988 ",36,Portugal,Portugal,Leiria,,"1,90",,,Portugal,,,
1.0,Ricardo Moura,Goalkeeper,"Dec 14, 1988 ",35,Portugal,Portugal,Valongo,,"1,84",,,Portugal,,,
,Janita,Goalkeeper,"Jul 11, 1988 ",35,Portugal,Portugal,Sao Joao da Madeira,,,,,Portugal,,,
,João Azul,Goalkeeper,"Apr 17, 1988 ",35,Portugal,Portugal,Vila Real de Santo Antonio,,,,,Portugal,,,
,Tiago Jorge,Goalkeeper,"Mar 3, 1988 ",36,Portugal,Portugal,Pinhal Novo,,"1,86",,,Portugal,,,
,Luís Espinha,Goalkeeper,"Jan 4, 1988 ",36,Portugal,Portugal,Guimaraes,,"1,74",,,Portugal,,,
1.0,Filipe Soares,Goalkeeper,"Dec 20, 1988 ",35,Portugal,Portugal,Acores,,"1,91",,,Portugal,,,
,Sérgio Nobre,Goalkeeper,"Jun 15, 1988 ",35,Portugal,Portugal,Cadaval,,"1,78",,,Portugal,,,
24.0,Manuel Gama,Goalkeeper,"May 26, 1988 ",35,Portugal,Portugal,Anadia,,"1,90",,,Portugal,,,
,Vítor Gamito,Goalkeeper,"Mar 9, 1988 ",36,Portugal,Portugal,Chaves,,"1,88",,,Portugal,,,
,Hugo Ventura,Goalkeeper,"Jan 14, 1988 ",36,Portugal,Portugal,Vila Nova de Gaia,,"1,88",,,Portugal,,,
88.0,Pedro Trigueira,Goalkeeper,"Jan 4, 1988 ",36,Portugal,Portugal,Paredes,,"1,92",,,Portugal,,,
,João Fernandes,Goalkeeper,"Feb 10, 1988 ",36,Portugal,Portugal,Viana do Castelo,,"1,86",,,Portugal,,,
12.0,Luís Marques,Goalkeeper,"Oct 13, 1988 ",35,Portugal,Portugal,Vila Vicosa,,"1,76",,,Portugal,,,
,Diogo Soares,Goalkeeper,"Apr 3, 1988 ",36,Portugal,Portugal,Lisboa,,"1,85",,,Portugal,,,
,Tiago Ribeiro,Goalkeeper,"Jul 24, 1988 ",35,Portugal,Portugal,Braga,,,,,Portugal,,,
1.0,Carlos Nabais,Goalkeeper,"Feb 6, 1988 ",36,Portugal,Portugal,Entroncamento,,"1,83",,,Portugal,,,
,Hugo Pereira,Goalkeeper,"Mar 22, 1988 ",36,Portugal,Portugal,,,,,,Portugal,,,
24.0,Vítor Nogueira,Goalkeeper,"Feb 9, 1988 ",36,Portugal,Portugal,Covilha,,"1,83",,,Portugal,,,
,Marcelo Deodato,Goalkeeper,"Jun 20, 1988 ",35,Portugal,Portugal,Lisboa,,"1,90",,,Portugal,,,
,Óscar,Goalkeeper,"Nov 4, 1988 ",35,Portugal,Portugal,Barcelos,,"1,88",,,Portugal,,,
,Marco Pinto,Goalkeeper,"Mar 22, 1988 ",36,Portugal,Portugal,Lisboa,,"1,82",,,Portugal,,,
,Ricardo Ferreira,Goalkeeper,"Dec 3, 1989 ",34,Portugal,Portugal,Braga,,"1,86",,,Portugal,,,
,Paulo Rocha,Goalkeeper,"Apr 18, 1989 ",34,Portugal,Portugal,Melres,,"1,87",,,Portugal,,,
1.0,Xuteiras,Goalkeeper,"Mar 6, 1989 ",35,Portugal,Portugal,,,,,,Portugal,,,
,Rui Oliveira,Goalkeeper,"Jan 9, 1989 ",35,Portugal,Portugal,Alcobaca,,"1,75",,,Portugal,,,
1.0,Joel Rosária,Goalkeeper,"Nov 22, 1989 ",34,Portugal,Portugal,Loule,,"1,86",,,Portugal,,,
,André Martins,Goalkeeper,"Oct 12, 1989 ",34,Portugal,Portugal,Odivelas,,"1,93",,,Portugal,,,
1.0,Cárin Gonçalves,Goalkeeper,"Feb 17, 1989 ",35,Portugal,Portugal,Funchal,,"1,80",,,Portugal,,,
24.0,Mauro Leal,Goalkeeper,"Feb 10, 1989 ",35,Portugal,Portugal,Coimbra,,"1,80",,,Portugal,,,
1.0,Renato,Goalkeeper,"May 11, 1989 ",34,Portugal,Portugal,Ovar,,"1,83",,,Portugal,,,
12.0,Daniel Casaleiro,Goalkeeper,"Nov 2, 1989 ",34,Portugal,Portugal,Entroncamento,,"1,84",,,Portugal,,,
,Diego Silva,Goalkeeper,"Oct 3, 1989 ",34,Portugal,Portugal,Barcelos,,"1,90",,,Portugal,,,
82.0,Cajó,Goalkeeper,"Sep 7, 1989 ",34,Portugal,Portugal,Vila Nova de Famalicao,,"1,85",,,Portugal,,,
12.0,Ricardo,Goalkeeper,"Mar 12, 1989 ",35,Portugal,Portugal,Mealhada,,"1,76",,,Portugal,,,
,Rafael Grácio,Goalkeeper,"Feb 4, 1989 ",35,Portugal,Portugal,Coimbra,,"1,78",,,Portugal,,,
12.0,Luís Paulo,Goalkeeper,"Jul 23, 1989 ",34,Portugal,Portugal,Caldas da Rainha,,"1,79",,,Portugal,,,
,Rafael Marques,Goalkeeper,"Sep 11, 1989 ",34,Portugal,Portugal,Lisboa,,"1,87",,,Portugal,,,
,Rui Santos,Goalkeeper,"Apr 2, 1989 ",35,Portugal,Portugal,Oeiras,,"1,90",,,Portugal,,,
,Fábio Mendes,Goalkeeper,"Nov 10, 1989 ",34,Portugal,Portugal,Serta,,"1,83",,,Portugal,,,
,Luís Carlos,Goalkeeper,"Jun 10, 1989 ",34,Portugal,Portugal,Funchal,,"1,78",,,Portugal,,,
,Carlitos,Goalkeeper,"May 14, 1989 ",34,Portugal,Portugal,Torre de Moncorvo,,"1,80",,,Portugal,,,
1.0,André Marques,Goalkeeper,"Jan 22, 1989 ",35,Portugal,Portugal,Lisboa,,"1,86",,,Portugal,,,
1.0,Ricardo Neves,Goalkeeper,"Jan 7, 1989 ",35,Portugal,Portugal,Coimbra,,"1,86",,,Portugal,,,
87.0,Ricardo Ribeiro,Goalkeeper,"Jan 27, 1990 ",34,Portugal,Portugal,Guimaraes,,"1,84",,,Portugal,,,
,Hélder Teixeira,Goalkeeper,"Apr 7, 1990 ",34,Portugal,Portugal,Vila Nova de Gaia,,"1,79",,,Portugal,,,
,Artur Micha,Goalkeeper,"May 28, 1990 ",33,Portugal,Portugal,Porto,,"1,75",,,Portugal,,,
1.0,João Janela,Goalkeeper,"Dec 5, 1990 ",33,Portugal,Portugal,Castelo de Vide,,,,,Portugal,,,
13.0,Fábio Carvalho,Goalkeeper,"Feb 4, 1990 ",34,Portugal,Portugal,Vila Nova de Gaia,,"1,86",,,Portugal,,,
,Nélson Teixeira,Goalkeeper,"Apr 4, 1990 ",34,Portugal,Portugal,Penafiel,,,,,Portugal,,,
1.0,Miguel Soares,Goalkeeper,"Dec 15, 1990 ",33,Portugal,Portugal,Lisboa,,"1,84",,,Portugal,,,
,João Macão,Goalkeeper,"May 27, 1990 ",33,Portugal,Portugal,Entrocamento,,,,,Portugal,,,
,Vicente,Goalkeeper,"Sep 16, 1990 ",33,Portugal,Portugal,Azurem,,"1,86",,,Portugal,,,
,Tiago Macieira,Goalkeeper,"Mar 12, 1990 ",34,Portugal,Portugal,Freamunde,,"1,70",,,Portugal,,,
,Fábio Sapateiro,Goalkeeper,"Aug 18, 1990 ",33,Portugal,Portugal,Arrentela,,"1,83",,,Portugal,,,
,João Aragão,Goalkeeper,"Nov 23, 1990 ",33,Portugal,Portugal,Lisboa,,"1,87",,,Portugal,,,
,Ruca,Goalkeeper,"Jan 7, 1990 ",34,Portugal,Portugal,Tabua,,"1,84",,,Portugal,,,
43.0,Miguel Pardal,Goalkeeper,"Dec 19, 1990 ",33,Portugal,Portugal,Penedo Gordo,,"1,78",,,Portugal,,,
,Pedro Freitas,Goalkeeper,"May 21, 1990 ",33,Portugal,Portugal,Gondomar,,"1,94",,,Portugal,,,
1.0,Cesteiro,Goalkeeper,"Jan 2, 1990 ",34,Portugal,Portugal,Ponte da Barca,,"1,77",,,Portugal,,,
29.0,Rafa,Goalkeeper,"Jul 27, 1990 ",33,Portugal,Portugal,,,"1,84",,,Portugal,,,
,Rúben Borges,Goalkeeper,"Mar 1, 1990 ",34,Portugal,Portugal,Budens,,"1,86",,,Portugal,,,
,Emanuel Vieira,Goalkeeper,"May 15, 1990 ",33,Portugal,Portugal,Figueira da Foz,,,,,Portugal,,,
,João Ricardo,Goalkeeper,"Oct 1, 1990 ",33,Portugal,Portugal,Lisboa,,"2,08",,,Portugal,,,
,João Cruz,Goalkeeper,"Jun 26, 1990 ",33,Portugal,Portugal,Vila Nova de Famalicao,,"1,87",,,Portugal,,,
29.0,Leonardo,Goalkeeper,"Dec 8, 1990 ",33,Portugal,Portugal,Porto,,"1,90",,,Portugal,,,
30.0,Tiago Rocha,Goalkeeper,"Sep 4, 1990 ",33,Portugal,Portugal,Penafiel,,"1,81",,,Portugal,,,
,Pedro Velho,Goalkeeper,"May 12, 1990 ",33,Portugal,Portugal,Ponte de Lima,,"1,82",,,Portugal,,,
,Diogo Freire,Goalkeeper,"Mar 30, 1990 ",34,Portugal,Portugal,Vendas Novas,,"1,85",,,Portugal,,,
14.0,Cláudio Ramos,Goalkeeper,"Nov 16, 1991 ",32,Portugal,Portugal,Viseu,,"1,83",,,Portugal,,,
12.0,João Rosa,Goalkeeper,"Oct 31, 1991 ",32,Portugal,Portugal,Pego,,"1,82",,,Portugal,,,
,Filipe Cunha,Goalkeeper,"Jan 29, 1991 ",33,Portugal,Portugal,Porto,,"1,83",,,Portugal,,,
78.0,Bruno Pini,Goalkeeper,"Aug 31, 1991 ",32,Portugal,Portugal,Chaves,,"1,79",,,Portugal,,,
,João Bernardo,Goalkeeper,"May 1, 1991 ",32,Portugal,Portugal,Santarem,,"1,84",,,Portugal,,,
,Daniel De Oliveira Bessa,Goalkeeper,"Jan 4, 1991 ",33,Portugal,Portugal,Porto,,,,,Portugal,,,
36.0,Diogo Almeida,Goalkeeper,"Dec 7, 1991 ",32,Portugal,Portugal,Sao Joao da Madeira,,"1,83",,,Portugal,,,
,Jorge Vieira,Goalkeeper,"Jan 8, 1991 ",33,Portugal,Portugal,Porto,,"1,85",,,Portugal,,,
,Nélson,Goalkeeper,"Sep 18, 1991 ",32,"Portugal, Spain",Portugal,,,"1,89",,,Portugal, Spain,,
35.0,João Guerra,Goalkeeper,"Sep 25, 1991 ",32,Portugal,Portugal,Marinha Grande,,"1,86",,,Portugal,,,
,Ruben Luís,Goalkeeper,"Jun 27, 1991 ",32,Portugal,Portugal,Alcobaca,,"1,75",,,Portugal,,,
17.0,Ivo Lima,Goalkeeper,"May 31, 1991 ",32,Portugal,Portugal,Acores,,"1,88",,,Portugal,,,
1.0,Dinis Faria,Goalkeeper,"Apr 15, 1991 ",32,Portugal,Portugal,Horta,,"1,85",,,Portugal,,,
1.0,Miguel Sousa,Goalkeeper,"Aug 9, 1991 ",32,Portugal,Portugal,,,"1,77",,,Portugal,,,
,João Ascenso,Goalkeeper,"Apr 9, 1991 ",32,Portugal,Portugal,Lisboa,,"1,87",,,Portugal,,,
24.0,Marco Jesus,Goalkeeper,"Nov 23, 1991 ",32,Portugal,Portugal,Funchal,,"1,83",,,Portugal,,,
,João Pedro,Goalkeeper,"Jun 13, 1991 ",32,Portugal,Portugal,Canedo,,"1,80",,,Portugal,,,
22.0,Nuno Hidalgo,Goalkeeper,"Nov 6, 1991 ",32,Portugal,Portugal,Sobral de Monte Agraco,,"1,84",,,Portugal,,,
12.0,Rui Vieira,Goalkeeper,"Nov 13, 1991 ",32,Portugal,Portugal,Braga,,"1,89",,,Portugal,,,
,Fábio Rabaldo,Goalkeeper,"Oct 11, 1991 ",32,Portugal,Portugal,Povoa de Varzim,,"1,82",,,Portugal,,,
,Tiago Guedes,Goalkeeper,"Jan 31, 1991 ",33,Portugal,Portugal,Chaves,,"1,87",,,Portugal,,,
,Fábio Pereira,Goalkeeper,"Apr 21, 1991 ",32,Portugal,Portugal,Barcelos,,"1,83",,,Portugal,,,
23.0,Emanuel Novo,Goalkeeper,"Aug 26, 1992 ",31,Portugal,Portugal,Vila do Conde,,"1,91",,,Portugal,,,
,Luís Rosado,Goalkeeper,"Sep 10, 1992 ",31,Portugal,Portugal,Reguengos de Monsaraz,,"1,81",,,Portugal,,,
24.0,Hélio,Goalkeeper,"May 7, 1992 ",31,Portugal,Portugal,Santa Maria de Lamas,,,,,Portugal,,,
,Edir Vasconcelos,Goalkeeper,"Aug 19, 1992 ",31,Portugal,Portugal,Funchal,,"1,78",,,Portugal,,,
,João Mendes,Goalkeeper,"Feb 1, 1992 ",32,"Portugal, Angola",Portugal,,,"1,82",,,Portugal, Angola,,
92.0,Luís,Goalkeeper,"Dec 10, 1992 ",31,Portugal,Portugal,Alfena,,"1,84",,,Portugal,,,
,João Luís,Goalkeeper,"Nov 20, 1992 ",31,Portugal,Portugal,Braga,,"1,84",,,Portugal,,,
1.0,Fábio Reis,Goalkeeper,"Jan 28, 1992 ",32,Portugal,Portugal,Setubal,,"1,81",,,Portugal,,,
,André,Goalkeeper,"Feb 15, 1992 ",32,Portugal,Portugal,Castelo Branco,,"1,81",,,Portugal,,,
,Pedro Cavadas,Goalkeeper,"Mar 6, 1992 ",32,Portugal,Portugal,Alfena,,"1,87",,,Portugal,,,
,Tozé,Goalkeeper,"Oct 25, 1992 ",31,Portugal,Portugal,Esposende,,"1,79",,,Portugal,,,
,Ricardo,Goalkeeper,"Mar 9, 1992 ",32,Portugal,Portugal,Vila Nova de Famalicao,,"1,82",,,Portugal,,,
,Hugo Pinto,Goalkeeper,"May 23, 1992 ",31,Portugal,Portugal,Almada,,"1,90",,,Portugal,,,
,Hugo,Goalkeeper,"Nov 16, 1992 ",31,Portugal,Portugal,Lourosa,,,,,Portugal,,,
21.0,Miguel Cruz,Goalkeeper,"Jul 23, 1992 ",31,Portugal,Portugal,Aljustrel,,"1,81",,,Portugal,,,
99.0,Kyle Pereira,Goalkeeper,"Dec 15, 1992 ",31,Portugal,Portugal,Madalena do Pico,,"1,82",,,Portugal,,,
,Simão Silva,Goalkeeper,"Oct 28, 1992 ",31,Portugal,Portugal,Vila Mea,,,,,Portugal,,,
24.0,Bruno Pinto,Goalkeeper,"Jun 9, 1992 ",31,Portugal,Portugal,Valongo,,"1,84",,,Portugal,,,
,Diogo Melo,Goalkeeper,"Aug 16, 1992 ",31,Portugal,Portugal,Se Nova- Coimbra,,"1,95",,,Portugal,,,
,Vítor Vieira,Goalkeeper,"Sep 14, 1992 ",31,Portugal,Portugal,Povoacao - Sao Miguel,,"1,77",,,Portugal,,,
,Luís Pedro,Goalkeeper,"Feb 4, 1992 ",32,Portugal,Portugal,Serta,,"1,85",,,Portugal,,,
1.0,Vítor São Bento,Goalkeeper,"Aug 9, 1992 ",31,Portugal,Portugal,Barcelos,,"1,90",,,Portugal,,,
,Carlos Gomes,Goalkeeper,"Mar 17, 1992 ",32,Portugal,Portugal,,,"1,81",,,Portugal,,,
,Fábio Santos,Goalkeeper,"Nov 14, 1992 ",31,Portugal,Portugal,Penafiel,,"1,87",,,Portugal,,,
,Pedro Pereira,Goalkeeper,"May 22, 1992 ",31,Portugal,Portugal,Vila Real de Santo Antonio,,"1,85",,,Portugal,,,
,João Pinho,Goalkeeper,"Apr 30, 1992 ",31,Portugal,Portugal,Oliveira de Azemeis,,"1,89",,,Portugal,,,
,Miguel Assunção,Goalkeeper,"Jan 12, 1992 ",32,Portugal,Portugal,Fornos,,"1,90",,,Portugal,,,
1.0,Luís Ribeiro,Goalkeeper,"Apr 19, 1992 ",31,Portugal,Portugal,Lisboa,,"1,88",,,Portugal,,,
,Daniel Simoes,Goalkeeper,"Apr 5, 1992 ",32,"Portugal, Luxembourg",Portugal,,,,,,Portugal, Luxembourg,,
,Tiago Maia,Goalkeeper,"Sep 18, 1992 ",31,Portugal,Portugal,Gondomar,,"1,81",,,Portugal,,,
,Adolfo Leite,Goalkeeper,"Mar 8, 1992 ",32,Portugal,Portugal,Lisboa,,"1,83",,,Portugal,,,
1.0,João Figueiredo,Goalkeeper,"Feb 2, 1992 ",32,Portugal,Portugal,Fermentelos,,"1,85",,,Portugal,,,
1.0,José Sá,Goalkeeper,"Jan 17, 1993 ",31,Portugal,Portugal,Braga,,"1,92",,,Portugal,,,
1.0,Tiago Coelho,Goalkeeper,"Mar 18, 1993 ",31,Portugal,Portugal,,,,,,Portugal,,,
1.0,Moreira,Goalkeeper,"Mar 2, 1993 ",31,Portugal,Portugal,Porto,,"1,91",,,Portugal,,,
24.0,Mocheco,Goalkeeper,"Dec 30, 1993 ",30,Portugal,Portugal,Batalha,,"1,83",,,Portugal,,,
24.0,Miguel Fernandes,Goalkeeper,"Jun 17, 1993 ",30,Portugal,Portugal,Guimaraes,,"1,84",,,Portugal,,,
90.0,Nuno Dias,Goalkeeper,"Oct 14, 1993 ",30,Portugal,Portugal,,,"1,90",,,Portugal,,,
1.0,Wilson Soares,Goalkeeper,"Mar 13, 1993 ",31,Portugal,Portugal,Porto de Mos,,"1,90",,,Portugal,,,
,Tiago Marinheiro,Goalkeeper,"Aug 19, 1993 ",30,Portugal,Portugal,Montijo,,"1,97",,,Portugal,,,
1.0,Rui Lopes,Goalkeeper,"Dec 28, 1993 ",30,Portugal,Portugal,Guimaraes,,"1,88",,,Portugal,,,
,João Marreiros,Goalkeeper,"Sep 20, 1993 ",30,Portugal,Portugal,Seixal,,"1,85",,,Portugal,,,
,Namir Queni,Goalkeeper,"Dec 16, 1993 ",30,"Portugal, Sao Tome and Principe",Portugal,Lisboa,,"1,98",,,Portugal, Sao Tome and Principe,,
,Bruno Martins,Goalkeeper,"Dec 11, 1993 ",30,Portugal,Portugal,Esposende,,"1,85",,,Portugal,,,
,Igor Rocha,Goalkeeper,"Mar 4, 1993 ",31,Portugal,Portugal,Santa Maria da Feira,,"1,84",,,Portugal,,,
99.0,Carlos Henriques,Goalkeeper,"Jul 7, 1993 ",30,Portugal,Portugal,Silves,,"1,84",,,Portugal,,,
1.0,Ângelo Martins,Goalkeeper,"Jul 31, 1993 ",30,Portugal,Portugal,Leiria,,"1,88",,,Portugal,,,
,Camané,Goalkeeper,"Oct 5, 1993 ",30,Portugal,Portugal,Campo Maior,,,,,Portugal,,,
,Luís Pedrosa,Goalkeeper,"Jun 12, 1993 ",30,Portugal,Portugal,Alvor,,"1,82",,,Portugal,,,
1.0,Diogo Silva,Goalkeeper,"May 13, 1993 ",30,Portugal,Portugal,Leca da Palmeira,,"1,89",,,Portugal,,,
,Micael Coelho Pinto,Goalkeeper,"Jul 30, 1993 ",30,Portugal,Portugal,,,,,,Portugal,,,
