Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions,Nationality 1,Nationality 2,Nationality 3,Position 2,Position 3
,Roberto Román,Goalkeeper,"Jul 4, 1985 ",39,Spain,Spain,Caceres,,"1,89",,,Spain,,,,
,Carlos Saavedra,Goalkeeper,"May 3, 1985 ",39,Spain,Spain,Madrid,,"1,87",,,Spain,,,,
,Oier San Miguel,Goalkeeper,"Jan 20, 1985 ",39,Spain,Spain,Ondarroa,,"1,87",,,Spain,,,,
,David Alemán,Goalkeeper,"Feb 7, 1985 ",39,Spain,Spain,Pajara,,"1,74",,,Spain,,,,
13.0,Nauzet Pérez,Goalkeeper,"Mar 1, 1985 ",39,Spain,Portugal,Las Palmas de Gran Canaria,,"1,90",,,Spain,,,,
,José Manuel Camacho,Goalkeeper,"Jul 9, 1985 ",39,Spain,Portugal,Jerez de la Frontera,,"1,82",,,Spain,,,,
,Ariza,Goalkeeper,"Apr 1, 1985 ",39,Spain,Portugal,Malaga,,"1,82",,,Spain,,,,
,Juan Manuel Torrente,Goalkeeper,"Jun 1, 1985 ",39,Spain,Portugal,Puerto Lumbreras,,"1,85",,,Spain,,,,
,Alberto García,Goalkeeper,"Feb 9, 1985 ",39,Spain,Portugal,Barcelona,,"1,82",,,Spain,,,,
,David Montero,Goalkeeper,"Mar 12, 1985 ",39,Spain,Portugal,Salamanca,,"1,81",,,Spain,,,,
,Aitor Alcalde,Goalkeeper,"May 22, 1985 ",39,Spain,Portugal,Erandio,,"1,86",,,Spain,,,,
,Alberto Montero,Goalkeeper,"Mar 28, 1985 ",39,Spain,Portugal,Barcelona,,"1,86",,,Spain,,,,
,Sergio López,Goalkeeper,"Oct 29, 1985 ",38,Spain,Portugal,Santander,,"1,85",,,Spain,,,,
,Manel Arroyo,Goalkeeper,"Feb 21, 1985 ",39,Spain,Portugal,Madrid,,"1,86",,,Spain,,,,
,Jorge Larrosa,Goalkeeper,"Dec 16, 1985 ",38,Spain,Portugal,Huesca,,"1,81",,,Spain,,,,
,Darío Fernández,Goalkeeper,"Jun 16, 1985 ",39,Spain,Portugal,Granada,,"1,82",,,Spain,,,,
,Dani,Goalkeeper,"Apr 23, 1985 ",39,Spain,Portugal,Cadiz,,"1,80",,,Spain,,,,
,Óliver Moreno,Goalkeeper,"May 23, 1985 ",39,Spain,Portugal,Galdar,,"1,85",,,Spain,,,,
,Manolo Reina,Goalkeeper,"Apr 1, 1985 ",39,Spain,Portugal,Villanueva del Trabuco,,"1,86",,,Spain,,,,
13.0,Andrés Fernández,Goalkeeper,"Dec 16, 1986 ",37,Spain,Spain,Alcantarilla,,"1,85",,,Spain,,,,
1.0,Jon Irazusta,Goalkeeper,"Apr 30, 1986 ",38,Spain,Spain,Usurbil,,"1,84",,,Spain,,,,
,David Armengol,Goalkeeper,"Jun 13, 1986 ",38,Spain,Spain,Oviedo,,"1,82",,,Spain,,,,
1.0,David Cortegoso,Goalkeeper,"Oct 9, 1986 ",37,Spain,Spain,Redondela,,,,,Spain,,,,
,Francisco Otero Martín,Goalkeeper,"Nov 3, 1986 ",37,Spain,Spain,Santa Cruz de Tenerife,,,,,Spain,,,,
1.0,Francisco Fernández,Goalkeeper,"Aug 28, 1986 ",37,Spain,Spain,Tarifa,,"1,78",,,Spain,,,,
,Ayoze Mentado,Goalkeeper,"Mar 15, 1986 ",38,Spain,Spain,Las Palmas de Gran Canaria,,,,,Spain,,,,
,Nico Monclova,Goalkeeper,"Aug 4, 1986 ",37,Spain,Spain,Lora del Rio,,,,,Spain,,,,
,Javi Ríos,Goalkeeper,"Apr 19, 1986 ",38,Spain,Spain,Logrono,,"1,82",,,Spain,,,,
,Fran Martínez,Goalkeeper,"Mar 26, 1986 ",38,Spain,Spain,Yecla,,,,,Spain,,,,
,Toni Texeira,Goalkeeper,"Jul 27, 1986 ",37,Spain,Spain,Barcelona,,"1,76",,,Spain,,,,
,Li,Goalkeeper,"Nov 11, 1986 ",37,Spain,Spain,Las Palmas de Gran Canaria,,"1,83",,,Spain,,,,
,José Miguel Márquez,Goalkeeper,"May 19, 1986 ",38,Spain,Spain,Tocina,,"1,88",,,Spain,,,,
,Kiko Casilla,Goalkeeper,"Oct 2, 1986 ",37,Spain,Spain,Alcover,,"1,91",,,Spain,,,,
13.0,Ian Mackay,Goalkeeper,"Jul 14, 1986 ",37,"Spain, Scotland",Spain,A Coruna,,"1,81",,,Spain, Scotland,,,
13.0,Toño,Goalkeeper,"Nov 23, 1986 ",37,Spain,Spain,Logrono,,"1,91",,,Spain,,,,
,Chuchi,Goalkeeper,"Oct 4, 1986 ",37,Spain,Spain,Murcia,,"1,87",,,Spain,,,,
,Víctor,Goalkeeper,"May 10, 1986 ",38,Spain,Spain,Santander,,"1,83",,,Spain,,,,
,Álex Hernández,Goalkeeper,"Jun 4, 1986 ",38,Spain,Spain,Valladolid,,"1,88",,,Spain,,,,
,Iván Contreras,Goalkeeper,"Aug 5, 1986 ",37,Spain,Spain,Pamplona,,,,,Spain,,,,
,Diego García,Goalkeeper,"Mar 1, 1986 ",38,Spain,Spain,Santander,,"1,83",,,Spain,,,,
,Lolo Soler,Goalkeeper,"Sep 17, 1986 ",37,Spain,Spain,Torremolinos,,"1,88",,,Spain,,,,
1.0,Fran Sánchez,Goalkeeper,"May 20, 1986 ",38,Spain,Spain,Utrera,,"1,81",,,Spain,,,,
,Víctor Bocanegra,Goalkeeper,"Jan 15, 1986 ",38,Spain,Spain,Sevilla,,"1,83",,,Spain,,,,
,Iker Arrillaga,Goalkeeper,"Nov 2, 1986 ",37,Spain,Spain,Elgoibar,,"1,82",,,Spain,,,,
,Michi,Goalkeeper,"Feb 27, 1986 ",38,Spain,Spain,Coles,,"1,86",,,Spain,,,,
,Santi Hidalgo,Goalkeeper,"Aug 17, 1986 ",37,Spain,Spain,Las Palmas de Gran Canaria,,"1,79",,,Spain,,,,
,Manu Polo,Goalkeeper,"Jan 31, 1986 ",38,Spain,Spain,Madrid,,"1,85",,,Spain,,,,
,Tudela,Goalkeeper,"Aug 23, 1986 ",37,Spain,Spain,Murcia,,"1,85",,,Spain,,,,
,Roberto Pérez,Goalkeeper,"Mar 25, 1986 ",38,Spain,Spain,El Berron,,"1,77",,,Spain,,,,
,Xabi Irureta,Goalkeeper,"Mar 21, 1986 ",38,Spain,Spain,Berriatua,,"1,79",,,Spain,,,,
,Damián Seijoso,Goalkeeper,"Jan 15, 1986 ",38,Spain,Spain,A Coruna,,"1,82",,,Spain,,,,
,Emilio José Hernández,Goalkeeper,"Feb 14, 1986 ",38,Spain,Spain,Madrid,,"1,75",,,Spain,,,,
13.0,Nacho Gil,Goalkeeper,"Nov 6, 1986 ",37,Spain,Spain,Madrid,,"1,88",,,Spain,,,,
,David Zamora,Goalkeeper,"Mar 6, 1986 ",38,Spain,Spain,Cadiz,,"1,90",,,Spain,,,,
,Berto,Goalkeeper,"Dec 26, 1986 ",37,Spain,Spain,Ribadavia,,"1,73",,,Spain,,,,
,Javi López,Goalkeeper,"Mar 4, 1986 ",38,Spain,Spain,O Incio,,"1,81",,,Spain,,,,
,Gregorio,Goalkeeper,"May 1, 1986 ",38,Spain,Spain,Vilches,,"1,81",,,Spain,,,,
,Xavi Ginard,Goalkeeper,"Oct 11, 1986 ",37,Spain,Spain,Arta,,"1,86",,,Spain,,,,
,Eladio Fernández,Goalkeeper,"Apr 25, 1986 ",38,Spain,Spain,Madrid,,"1,89",,,Spain,,,,
,Diego López,Goalkeeper,"Jun 15, 1986 ",38,Spain,Spain,Cambre,,"1,78",,,Spain,,,,
,Gaizka Ruiz,Goalkeeper,"Sep 24, 1986 ",37,Spain,Spain,Vitoria,,"1,81",,,Spain,,,,
,Escribano,Goalkeeper,"Mar 26, 1986 ",38,Spain,Spain,Madrid,,"1,88",,,Spain,,,,
,Raúl Domínguez,Goalkeeper,"Nov 1, 1986 ",37,Spain,Spain,Saron,,"1,81",,,Spain,,,,
,Arkaitz Crespo,Goalkeeper,"Jan 20, 1986 ",38,Spain,Spain,Bilbao,,"1,81",,,Spain,,,,
,Rafa Martínez,Goalkeeper,"Nov 11, 1986 ",37,Spain,Spain,Ciudad Real,,"1,85",,,Spain,,,,
,Sergio Aure,Goalkeeper,"Aug 20, 1986 ",37,Spain,Spain,Amposta,,"1,86",,,Spain,,,,
,Viuski,Goalkeeper,"Aug 15, 1986 ",37,Spain,Spain,Vilalba,,"1,82",,,Spain,,,,
,Ibon López,Goalkeeper,"Feb 14, 1986 ",38,Spain,Spain,Lekeitio,,"1,89",,,Spain,,,,
,José Campaña,Goalkeeper,"Aug 26, 1986 ",37,Spain,Spain,Huetor Tajar,,"1,86",,,Spain,,,,
13.0,Limones,Goalkeeper,"Oct 17, 1986 ",37,Spain,Portugal,Daimiel,,"1,92",,,Spain,,,,
,Lucas Sierra,Goalkeeper,"Jun 19, 1986 ",38,Spain,Portugal,Ourense,,"1,86",,,Spain,,,,
1.0,Miguel Ramos,Goalkeeper,"Oct 5, 1986 ",37,Spain,Portugal,Barcelona,,"1,82",,,Spain,,,,
,Roberto,Goalkeeper,"Feb 10, 1986 ",38,Spain,Portugal,Madrid,,"1,92",,,Spain,,,,
,Sergio Sánchez,Goalkeeper,"Sep 27, 1986 ",37,Spain,Portugal,Madrid,,"1,81",,,Spain,,,,
,Manu Fernández,Goalkeeper,"May 9, 1986 ",38,Spain,Portugal,Gijon,,"1,85",,,Spain,,,,
,Sergio Álvarez,Goalkeeper,"Aug 3, 1986 ",37,Spain,Portugal,Vilagarcia de Arousa,,"1,79",,,Spain,,,,
25.0,Vicente Guaita,Goalkeeper,"Jan 10, 1987 ",37,Spain,Spain,Torrent,,"1,90",,,Spain,,,,
,Antonio Adán,Goalkeeper,"May 13, 1987 ",37,Spain,Spain,Madrid,,"1,90",,,Spain,,,,
12.0,Elías Hartard,Goalkeeper,"May 18, 1987 ",37,"Chile, Spain",Spain,Madrid,,"1,85",,,Chile, Spain,,,
1.0,Alberto Benito,Goalkeeper,"Apr 21, 1987 ",37,Spain,Spain,L'Entregu,,"1,90",,,Spain,,,,
31.0,Vicente Mansanet,Goalkeeper,"Aug 19, 1987 ",36,Spain,Spain,Simat de la Valldigna,,"1,96",,,Spain,,,,
,Robi,Goalkeeper,"Aug 18, 1987 ",36,Spain,Spain,,,,,,Spain,,,,
,Jorge López,Goalkeeper,"Aug 10, 1987 ",36,Spain,Spain,Pamplona,,,,,Spain,,,,
,Javi Pérez,Goalkeeper,"May 10, 1987 ",37,Spain,Spain,Haro,,,,,Spain,,,,
,Iván González,Goalkeeper,"Aug 26, 1987 ",36,Spain,Spain,Santander,,"1,82",,,Spain,,,,
1.0,Enol Ordóñez,Goalkeeper,"Oct 19, 1987 ",36,Spain,Spain,Gijon,,"1,82",,,Spain,,,,
,Alex Roig,Goalkeeper,"May 21, 1987 ",37,Spain,Spain,Valencia,,"1,83",,,Spain,,,,
,José Moragón,Goalkeeper,"Oct 6, 1987 ",36,Spain,Spain,Manacor,,"1,89",,,Spain,,,,
,Iván Cabrero,Goalkeeper,"Sep 22, 1987 ",36,Spain,Spain,Santander,,"1,90",,,Spain,,,,
,Adrián,Goalkeeper,"Jan 3, 1987 ",37,Spain,Spain,Sevilla,,"1,90",,,Spain,,,,
,Fabri,Goalkeeper,"Dec 31, 1987 ",36,"Spain, Uruguay",Spain,Vecindario,,"1,84",,,Spain, Uruguay,,,
,Pau Torres,Goalkeeper,"Jun 4, 1987 ",37,Spain,Spain,Capellades,,"1,83",,,Spain,,,,
,Aitor Rodríguez,Goalkeeper,"May 8, 1987 ",37,Spain,Spain,Mantaras,,,,,Spain,,,,
,Cristopher Pallás,Goalkeeper,"Jan 19, 1987 ",37,Spain,Spain,Carballo,,,,,Spain,,,,
,Alberto Olmedo,Goalkeeper,"Mar 5, 1987 ",37,Spain,Spain,Madrid,,,,,Spain,,,,
,Javi Porrón,Goalkeeper,"Jun 13, 1987 ",37,Spain,Spain,Oviedo,,,,,Spain,,,,
,Sergio Lloves,Goalkeeper,"Sep 2, 1987 ",36,Spain,Spain,Redondela,,"1,87",,,Spain,,,,
,David González,Goalkeeper,"Jun 15, 1987 ",37,Spain,Spain,Avila,,,,,Spain,,,,
,Diego Rivas,Goalkeeper,"May 27, 1987 ",37,Spain,Spain,Naron,,"1,82",,,Spain,,,,
,Nélson Cruz,Goalkeeper,"Aug 21, 1987 ",36,"Cape Verde, Spain",Spain,Madrid,,"1,86",,,Cape Verde, Spain,,,
,Rubén García,Goalkeeper,"Feb 12, 1987 ",37,Spain,Spain,Ontinyent,,"1,88",,,Spain,,,,
,Alberto Quintero,Goalkeeper,"Aug 19, 1987 ",36,Spain,Portugal,Adeje,,"1,85",,,Spain,,,,
,Óscar Mateo,Goalkeeper,"Sep 1, 1987 ",36,Spain,Portugal,Cartagena,,"1,85",,,Spain,,,,
,Dani Barrio,Goalkeeper,"Feb 10, 1987 ",37,Spain,Portugal,Gijon,,"1,90",,,Spain,,,,
,Toni Gómez,Goalkeeper,"Oct 17, 1987 ",36,Spain,Portugal,El Perello,,"1,85",,,Spain,,,,
,Miguel Aragón,Goalkeeper,"Jun 1, 1987 ",37,Spain,Portugal,Cadiz,,"1,85",,,Spain,,,,
,Marcos Valín,Goalkeeper,"Oct 16, 1987 ",36,Spain,Portugal,Guntin,,"1,85",,,Spain,,,,
,David Sánchez,Goalkeeper,"Sep 12, 1987 ",36,Spain,Portugal,Malaga,,"1,90",,,Spain,,,,
1.0,Javi Jiménez,Goalkeeper,"Jun 8, 1987 ",37,Spain,Portugal,Logrono,,"1,88",,,Spain,,,,
,Kike Reguero,Goalkeeper,"Feb 19, 1987 ",37,Spain,Portugal,Madrid,,"1,85",,,Spain,,,,
,Ioné Puga,Goalkeeper,"Aug 7, 1987 ",36,Spain,Portugal,Las Palmas de Gran Canaria,,"1,79",,,Spain,,,,
,Javi Martínez,Goalkeeper,"Jun 27, 1987 ",37,Spain,Portugal,Tarancon,,"1,79",,,Spain,,,,
,Juan Carlos,Goalkeeper,"Jul 27, 1987 ",36,Spain,Portugal,Calvia,,"1,82",,,Spain,,,,
,José Vives,Goalkeeper,"Sep 23, 1987 ",36,Spain,Portugal,Arta,,"1,88",,,Spain,,,,
,Pulpo Romero,Goalkeeper,"Oct 28, 1987 ",36,Spain,Portugal,Albacete,,"1,85",,,Spain,,,,
,Javier Mandaluniz,Goalkeeper,"Jan 15, 1987 ",37,Spain,Portugal,Bilbao,,"1,87",,,Spain,,,,
,Vicente Flor,Goalkeeper,"Nov 5, 1987 ",36,Spain,Portugal,Valencia,,"1,83",,,Spain,,,,
,Álvaro Campos,Goalkeeper,"Apr 1, 1987 ",37,Spain,Portugal,Mislata,,"1,87",,,Spain,,,,
,Gerardo Rubio,Goalkeeper,"May 17, 1987 ",37,Spain,Portugal,Palma de Mallorca,,"1,92",,,Spain,,,,
,Carlos Alberto,Goalkeeper,"May 22, 1987 ",37,Spain,Portugal,Llerena,,"1,85",,,Spain,,,,
,Daniel Planchería,Goalkeeper,"Mar 9, 1987 ",37,Spain,Portugal,Barcelona,,"1,81",,,Spain,,,,
,Nacho Zabal,Goalkeeper,"Feb 14, 1987 ",37,Spain,Portugal,Logrono,,"1,94",,,Spain,,,,
1.0,Ángel Bernabé,Goalkeeper,"Aug 11, 1987 ",36,Spain,Portugal,Velada,,"1,89",,,Spain,,,,
,José Ramón,Goalkeeper,"Jul 17, 1987 ",36,Spain,Portugal,Huelva,,"1,86",,,Spain,,,,
,Yoel Rodríguez,Goalkeeper,"Aug 28, 1988 ",35,Spain,Spain,Vigo,,"1,84",,,Spain,,,,
,Jesús Fernández,Goalkeeper,"Jun 11, 1988 ",36,Spain,Spain,Madrid,,"1,90",,,Spain,,,,
,Iago Herrerín,Goalkeeper,"Jan 25, 1988 ",36,Spain,Spain,Bilbao,,"1,87",,,Spain,,,,
1.0,Salva de la Cruz,Goalkeeper,"Feb 19, 1988 ",36,Spain,Spain,Villarreal,,"1,87",,,Spain,,,,
1.0,Alberto Domínguez,Goalkeeper,"Feb 11, 1988 ",36,Spain,Spain,Santiago de Compostela,,"1,81",,,Spain,,,,
,Kuko,Goalkeeper,"Jun 12, 1988 ",36,Spain,Spain,La Linea de la Concepcion,,"1,75",,,Spain,,,,
,César Carrasco,Goalkeeper,"Jul 22, 1988 ",35,Spain,Spain,Navalmoral de la Mata,,"1,79",,,Spain,,,,
,Paco,Goalkeeper,"Sep 28, 1988 ",35,Spain,Spain,Aguilas,,"1,74",,,Spain,,,,
,Diego Otniel Marrero Pérez,Goalkeeper,N/A ,35,,Spain,Las Palmas de Gran Canaria,,,,,,,,,
,Ángel Mingo,Goalkeeper,"May 22, 1988 ",36,Spain,Spain,Palma de Mallorca,,,,,Spain,,,,
,Kike Jiménez,Goalkeeper,"Apr 2, 1988 ",36,Spain,Spain,Madrid,,,,,Spain,,,,
,Ricardo Mora,Goalkeeper,"Jun 30, 1988 ",36,Spain,Spain,Ayamonte,,"1,88",,,Spain,,,,
,Sergio Romeo,Goalkeeper,"Nov 28, 1988 ",35,Spain,Spain,Estella-Lizarra,,,,,Spain,,,,
1.0,Juan Carlos,Goalkeeper,"Jan 20, 1988 ",36,Spain,Spain,Guadalajara,,"1,87",,,Spain,,,,
,Raúl Fernández,Goalkeeper,"Mar 13, 1988 ",36,Spain,Spain,Bilbao,,"1,95",,,Spain,,,,
,Miguel Serna,Goalkeeper,"Jul 9, 1988 ",36,Spain,Spain,Murcia,,"1,84",,,Spain,,,,
1.0,Pablo Carmona,Goalkeeper,"Jun 11, 1988 ",36,Spain,Spain,Valladolid,,"1,88",,,Spain,,,,
1.0,Borja Valadés,Goalkeeper,"Jun 30, 1988 ",36,Spain,Spain,La Linea de la Concepcion,,"1,84",,,Spain,,,,
,Andrés García,Goalkeeper,"May 17, 1988 ",36,Spain,Spain,Najera,,,,,Spain,,,,
,Juan Francisco Terrén,Goalkeeper,"Aug 5, 1988 ",35,Spain,Spain,La Linea de la Concepcion,,"1,84",,,Spain,,,,
,Alonso Garcia Palma,Goalkeeper,"Jun 18, 1988 ",36,Spain,Spain,La Linea de la Concepcion,,"1,90",,,Spain,,,,
,Fernando Sánchez,Goalkeeper,"Mar 24, 1988 ",36,Spain,Spain,San Pablo de Buceite,,,,,Spain,,,,
,Raúl Poveda,Goalkeeper,"Sep 21, 1988 ",35,Spain,Spain,Elda,,"1,84",,,Spain,,,,
,David Borrás,Goalkeeper,"Mar 16, 1988 ",36,Spain,Spain,Madrid,,"1,91",,,Spain,,,,
,Pablo Catalán,Goalkeeper,"Oct 18, 1988 ",35,Spain,Spain,Teruel,,"1,85",,,Spain,,,,
,Dani Castilla,Goalkeeper,"Dec 1, 1988 ",35,Spain,Spain,Tordera,,,,,Spain,,,,
,Jorge Palatsí,Goalkeeper,"Feb 18, 1988 ",36,Spain,Spain,La Salzadella,,"1,87",,,Spain,,,,
,Adrián Murcia,Goalkeeper,"Jan 23, 1988 ",36,Spain,Spain,Elche,,"1,87",,,Spain,,,,
,Jon Larruskain,Goalkeeper,"Jun 13, 1988 ",36,Spain,Spain,Durango,,"1,83",,,Spain,,,,
,Fran Marmolejo,Goalkeeper,"Jan 19, 1988 ",36,Spain,Spain,Coin,,"1,82",,,Spain,,,,
,Unzué,Goalkeeper,"Feb 4, 1988 ",36,Spain,Spain,Marbella,,"1,84",,,Spain,,,,
,Borja Piquero,Goalkeeper,"Apr 6, 1988 ",36,Spain,Spain,Aviles,,"1,88",,,Spain,,,,
,Raúl Martínez,Goalkeeper,"Oct 16, 1988 ",35,Spain,Spain,Castellon,,,,,Spain,,,,
,Josi,Goalkeeper,"Jan 22, 1988 ",36,Spain,Spain,Alicante,,"1,86",,,Spain,,,,
,Kevin Ulbrich,Goalkeeper,"Oct 24, 1988 ",35,Spain,Spain,Palma de Mallorca,,"1,95",,,Spain,,,,
13.0,Paco Fernández,Goalkeeper,"Apr 1, 1988 ",36,Spain,Spain,Ferrol,,"1,87",,,Spain,,,,
,Iker Alconero,Goalkeeper,"Dec 28, 1988 ",35,Spain,Spain,Villarcayo,,"1,90",,,Spain,,,,
,Aitor Arasa,Goalkeeper,"Feb 17, 1988 ",36,Spain,Spain,Madrid,,"1,86",,,Spain,,,,
,Iker Ibarra,Goalkeeper,"Jul 22, 1988 ",35,Spain,Spain,Bilbao,,,,,Spain,,,,
,Miguel Francisco Torres,Goalkeeper,"Mar 15, 1988 ",36,Spain,Spain,Ibiza,,"1,82",,,Spain,,,,
13.0,Ruymán Fernández,Goalkeeper,"Apr 23, 1988 ",36,Spain,Spain,Arrecife,,"1,85",,,Spain,,,,
,Diego Pastor,Goalkeeper,"Jan 23, 1988 ",36,Spain,Spain,Palencia,,,,,Spain,,,,
1.0,Álvaro García,Goalkeeper,"Aug 16, 1988 ",35,Spain,Spain,Almeria,,"1,80",,,Spain,,,,
,Joel Mur,Goalkeeper,"Mar 3, 1988 ",36,Spain,Spain,Lleida,,"1,80",,,Spain,,,,
,Urtzi Iturrioz,Goalkeeper,"Jan 12, 1988 ",36,Spain,Spain,Bilbao,,"1,82",,,Spain,,,,
,Toni Lechuga,Goalkeeper,"Feb 15, 1988 ",36,Spain,Spain,Jerez de la Frontera,,"1,93",,,Spain,,,,
,Asier Ocio,Goalkeeper,"Jul 4, 1988 ",36,Spain,Spain,Logrono,,"1,85",,,Spain,,,,
,Efrén Fernández,Goalkeeper,"Mar 22, 1988 ",36,Spain,Spain,Ibiza,,"1,87",,,Spain,,,,
,Juan Tejera,Goalkeeper,"Mar 8, 1988 ",36,Spain,Spain,Andujar,,"1,87",,,Spain,,,,
,Gonzalo,Goalkeeper,"Jan 10, 1988 ",36,Spain,Spain,Madrid,,"1,88",,,Spain,,,,
,Felipe Ramos,Goalkeeper,"Jan 10, 1988 ",36,Spain,Portugal,Madrid,,"1,87",,,Spain,,,,
,Isaac Becerra,Goalkeeper,"Jun 18, 1988 ",36,Spain,Portugal,Badalona,,"1,83",,,Spain,,,,
,Mario Fernández,Goalkeeper,"Apr 30, 1988 ",36,Spain,Portugal,Santander,,"1,85",,,Spain,,,,
,Munir Mohamedi,Goalkeeper,"May 10, 1989 ",35,"Morocco, Spain",Spain,Melilla,,"1,90",,,Morocco, Spain,,,
,Sergio Asenjo,Goalkeeper,"Jun 28, 1989 ",35,Spain,Spain,Palencia,,"1,89",,,Spain,,,,
1.0,Adrián Torre,Goalkeeper,"Aug 24, 1989 ",34,Spain,Spain,Oviedo,,,,,Spain,,,,
1.0,Rubén Miño,Goalkeeper,"Jan 18, 1989 ",35,Spain,Spain,Cornella de Llobregat,,"1,91",,,Spain,,,,
13.0,Oier Olazábal,Goalkeeper,"Sep 14, 1989 ",34,Spain,Spain,Irun,,"1,89",,,Spain,,,,
13.0,Jesús Coca,Goalkeeper,"May 22, 1989 ",35,Spain,Spain,Almodovar del Rio,,"1,89",,,Spain,,,,
13.0,Leandro Montagud,Goalkeeper,"Feb 28, 1989 ",35,Spain,Spain,Albalat de la Ribera,,"1,86",,,Spain,,,,
1.0,Ivanildo Rodrigues,Goalkeeper,"Apr 7, 1989 ",35,"Spain, Cape Verde",Spain,Bembibre,,,,,Spain, Cape Verde,,,
,Daniel Jara,Goalkeeper,"Apr 8, 1989 ",35,Spain,Spain,Sevilla,,,,,Spain,,,,
,Juanjo,Goalkeeper,"Dec 18, 1989 ",34,Spain,Spain,Almeria,,"1,79",,,Spain,,,,
,Fran Egea,Goalkeeper,"Feb 10, 1989 ",35,Spain,Spain,Hellin,,,,,Spain,,,,
,Roberto de las Heras Abad,Goalkeeper,"Sep 25, 1989 ",34,Spain,Spain,Madrid,,,,,Spain,,,,
1.0,Alberto Hortal,Goalkeeper,"Jul 7, 1989 ",35,Spain,Spain,Murcia,,,,,Spain,,,,
,Jordi Masip,Goalkeeper,"Jan 3, 1989 ",35,Spain,Spain,Sabadell,,"1,80",,,Spain,,,,
13.0,Tomeu Nadal,Goalkeeper,"Feb 8, 1989 ",35,Spain,Spain,Manacor,,"1,88",,,Spain,,,,
31.0,Jon Ander Serantes,Goalkeeper,"Oct 24, 1989 ",34,Spain,Spain,Barakaldo,,"1,83",,,Spain,,,,
,Tomás Mejías,Goalkeeper,"Jan 30, 1989 ",35,Spain,Spain,Madrid,,"1,95",,,Spain,,,,
,Eduardo Loscos,Goalkeeper,"Apr 9, 1989 ",35,Spain,Spain,Zaragoza,,"1,90",,,Spain,,,,
21.0,Víctor Ibáñez,Goalkeeper,"Apr 21, 1989 ",35,Spain,Spain,Barcelona,,"1,91",,,Spain,,,,
,David Martínez,Goalkeeper,"Jan 8, 1989 ",35,Spain,Spain,Puerto Sagunto,,,,,Spain,,,,
,Darío Cotelo,Goalkeeper,"Jun 29, 1989 ",35,Spain,Spain,A Coruna,,,,,Spain,,,,
