Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value
1,Anthony Beuve,Goalkeeper,"Jun 24, 1988 ",35,['France'],France,Eaubonne,"1,86",€150k
40,Geoffrey Lembet,Goalkeeper,"Sep 23, 1988 ",35,"['Central African Republic', 'France']",France,Villeneuve-Saint-Georges,"1,86",€150k
28,William Dutoit,Goalkeeper,"Sep 18, 1988 ",35,['France'],France,Roncq,"1,82",€100k
,Romain Desjouis,Goalkeeper,"Feb 2, 1988 ",36,['France'],France,Dunkerque,,-
,Anthony Corre,Goalkeeper,"May 7, 1988 ",35,['France'],France,Brest,"1,85",-
,Vincent Lorentin,Goalkeeper,"Feb 10, 1988 ",36,['France'],France,Reims,"1,83",-
,Geoffrey Bardin,Goalkeeper,"Jan 3, 1988 ",36,['France'],France,Besançon,,-
,Ziman Duki,Goalkeeper,"May 24, 1988 ",35,['France'],France,Strasbourg,"1,77",-
,Jérôme Scolan,Goalkeeper,"Jun 27, 1988 ",35,['France'],France,Toulon,"1,80",-
,Alban Catrin,Goalkeeper,"Feb 23, 1988 ",36,['France'],France,Drancy,"1,82",-
,Julien Hurbain,Goalkeeper,"Sep 2, 1988 ",35,['France'],France,Gorcy,"1,83",-
,Anthony Scribe,Goalkeeper,"Jan 1, 1988 ",36,['France'],France,Saint-Germain-en-Laye,"1,92",-
,Benjamin Levacher,Goalkeeper,"Feb 26, 1988 ",36,['France'],France,Rennes,"1,82",-
,Johann Carrasso,Goalkeeper,"May 7, 1988 ",35,['France'],France,Avignon,"1,87",-
30,Simon Pontdemé,Goalkeeper,"May 4, 1988 ",35,['France'],France,Niort,"1,86",-
,Franck Grasseler,Goalkeeper,"Nov 10, 1988 ",35,['France'],France,Mulhouse,"1,85",-
,Alexandre Bouchard,Goalkeeper,"May 1, 1988 ",35,['France'],France,Grande-Synthe,"1,82",-
,Kévin Olimpa,Goalkeeper,"Mar 10, 1988 ",35,"['Martinique', 'France']",France,Paris,"1,86",-
,Laurent Bernardi,Goalkeeper,"May 9, 1988 ",35,['France'],France,Ajaccio,"1,77",-
1,Benjamin Leroy,Goalkeeper,"Apr 7, 1989 ",34,['France'],France,Cucq,"1,84",€400k
40,Sébastien Rénot,Goalkeeper,"Nov 11, 1989 ",34,['France'],France,Dijon,"1,85",€200k
16,Abdelwaheb Sofiane Khedairia,Goalkeeper,"Apr 1, 1989 ",34,"['Algeria', 'France']",France,Valence,"1,85",€150k
1,Antoine Philippon,Goalkeeper,"Oct 10, 1989 ",34,['France'],France,Moulins,"1,84",€100k
16,Romain Ruffier,Goalkeeper,"Oct 4, 1989 ",34,['France'],France,Nîmes,"1,88",€100k
16,Cédric Mensah,Goalkeeper,"Mar 6, 1989 ",34,"['Togo', 'France']",France,Marseille,"1,85",€50k
,Loic Matchoulian,Goalkeeper,"Apr 6, 1989 ",34,"['France', 'Armenia']",France,Marseille,,-
,Valentin Houdou,Goalkeeper,"Oct 15, 1989 ",34,['France'],France,Mayenne,"1,91",-
,Vincent Carnovale,Goalkeeper,"Jun 14, 1989 ",34,['France'],France,Colmar,,-
,Hugo Baqué,Goalkeeper,"Jul 21, 1989 ",34,['France'],France,Guilherand-Granges,,-
,Rémi Goryl,Goalkeeper,"Jun 10, 1989 ",34,"['France', 'Poland']",France,Rodez,"1,81",-
,Florian Trimborn,Goalkeeper,"May 18, 1989 ",34,['France'],France,Sarreguemines,"1,85",-
,Adrien Dulac,Goalkeeper,"Jan 29, 1989 ",35,['France'],France,Vichy,,-
1,Brice Maubleu,Goalkeeper,"Dec 1, 1989 ",34,['France'],France,Saint-Martin-d'Hères,"1,92",€400k
1,Matthieu Dreyer,Goalkeeper,"Mar 20, 1989 ",34,['France'],France,Strasbourg,"1,88",€200k
35,Parfait Mandanda,Goalkeeper,"Nov 10, 1989 ",34,"['DR Congo', 'France']",France,Nevers,"1,82",€150k
1,Kévin Sommer,Goalkeeper,"Nov 8, 1989 ",34,['France'],France,Mulhouse,"1,88",€100k
,Anthony Martin,Goalkeeper,"Jul 24, 1989 ",34,"['France', 'Algeria']",France,Nantes,"1,83",€50k
,Julien Nouaille,Goalkeeper,"Jul 5, 1989 ",34,['France'],France,Lagny-sur-Marne,"1,83",-
,Laurent Valdrighi,Goalkeeper,"Dec 3, 1989 ",34,['France'],France,Bastia,,-
,Romain Giraud,Goalkeeper,"May 21, 1989 ",34,['France'],France,Saint-Etienne,"1,77",-
,Arthur Deleuze,Goalkeeper,"Aug 14, 1989 ",34,['France'],France,Bron,,-
,Mickaël Vieille,Goalkeeper,"Apr 6, 1989 ",34,['France'],France,Besançon,,-
,Quentin Deberles,Goalkeeper,"Dec 31, 1989 ",34,['France'],France,Villeparisis,"1,91",-
,Arlind Ejupi,Goalkeeper,"May 18, 1989 ",34,"['France', 'Albania']",France,Décines-Charpieu,,-
,Sory Camara,Goalkeeper,"Nov 3, 1989 ",34,"['France', 'Mali']",France,Paris,"1,88",-
,Brice Niclos,Goalkeeper,"Oct 19, 1989 ",34,['France'],France,Montpellier,"1,98",-
,Eddie Rion,Goalkeeper,"May 26, 1989 ",34,['France'],France,Lyon,,-
,Emmanuel Martin,Goalkeeper,"Oct 15, 1989 ",34,['France'],France,Reims,"1,82",-
,Florent Mendivé,Goalkeeper,"Oct 24, 1989 ",34,['France'],France,Salies-de-Béarn,,-
,Jordan Fernand,Goalkeeper,"Jun 16, 1989 ",34,['France'],France,Saint-Saulve,"1,86",-
,Willy Maeyens,Goalkeeper,"May 6, 1989 ",34,['France'],France,Péronne,"1,98",-
,Kevin le Nouy,Goalkeeper,"Jan 23, 1989 ",35,['France'],France,Quimper,"1,85",-
,Matthieu Pichot,Goalkeeper,"Sep 20, 1989 ",34,['France'],France,Sablé-sur-Sarthe,"1,84",-
,Romain Péron,Goalkeeper,"Sep 25, 1989 ",34,['France'],France,Bruges,"1,88",-
,Florent Petit,Goalkeeper,"Jan 30, 1989 ",35,['France'],France,Mont-Saint-Aignan,"1,90",-
,Vincent Degrè,Goalkeeper,"Jan 3, 1989 ",35,['France'],France,Saint-Avold,"1,87",-
,Simon Lugier,Goalkeeper,"Aug 2, 1989 ",34,"['French Guiana', 'France']",France,Coutances,"1,83",-
,Arnaud Torregrossa,Goalkeeper,"Dec 15, 1989 ",34,['France'],France,,"1,86",-
,Aurélien Fritsch,Goalkeeper,"Mar 23, 1989 ",34,['France'],France,Troyes,,-
,Jean-Pierre Grandclément,Goalkeeper,"Feb 7, 1989 ",35,['France'],France,Lyon,"1,88",-
,Johann Mauge,Goalkeeper,"Aug 17, 1989 ",34,['France'],France,Besançon,,-
,Alban Guibout,Goalkeeper,"Jul 26, 1989 ",34,['France'],France,Brioude,"1,84",-
,Baptiste Renaud,Goalkeeper,"May 9, 1989 ",34,['France'],France,Le Creusot,"1,83",-
,Dominique Agostini,Goalkeeper,"Sep 28, 1989 ",34,"['France', 'Italy']",France,Bastia,"1,82",-
,Anthony Dauvergne,Goalkeeper,"Mar 15, 1989 ",34,['France'],France,Rouen,"1,75",-
,Raphaël Ville,Goalkeeper,"Mar 16, 1989 ",34,['France'],France,Courbevoie,"1,83",-
,Kévin Aubeneau,Goalkeeper,"Feb 10, 1989 ",35,['France'],France,Niort,"1,86",-
1,Anthony Lopes,Goalkeeper,"Oct 1, 1990 ",33,"['Portugal', 'France']",France,Givors,"1,84",€5.00m
30,Alexandre Letellier,Goalkeeper,"Dec 11, 1990 ",33,['France'],France,Paris,"1,93",€300k
1,Mathieu Gorgelin,Goalkeeper,"Aug 5, 1990 ",33,['France'],France,Ambérieu-en-Bugey,"1,87",€200k
,Amine Lecomte-Addani,Goalkeeper,"Apr 26, 1990 ",33,"['Qatar', 'Morocco']",France,Reims,"1,94",€75k
37,Raphaël Adiceam,Goalkeeper,"Jul 3, 1990 ",33,['France'],France,Argenteuil,"1,79",€50k
,Jérémy Bahloul,Goalkeeper,N/A ,33,['France'],France,Strasbourg,"1,86",-
,Florian Camus,Goalkeeper,"Jun 3, 1990 ",33,['France'],France,Cannes,"1,90",-
,Salif Soumaré,Goalkeeper,"Oct 27, 1990 ",33,"['France', 'Mali']",France,Meulan-en-Yvelines,,-
,Steven Osmont,Goalkeeper,"Dec 12, 1990 ",33,['France'],France,Saint-Raphaël,,-
,Ivan Velandia,Goalkeeper,"May 17, 1990 ",33,"['France', 'Colombia']",France,Créteil,"1,86",-
,Clément Lumé,Goalkeeper,"Dec 19, 1990 ",33,['France'],France,Caen,"1,95",-
,Valentin Boisivon,Goalkeeper,"Apr 12, 1990 ",33,['France'],France,Nantes,,-
,Ronan Le Goffic,Goalkeeper,"Oct 2, 1990 ",33,['France'],France,Guingamp,"1,83",-
1,Baptiste Reynet,Goalkeeper,"Oct 28, 1990 ",33,['France'],France,Romans,"1,85",€300k
30,Mamadou Samassa,Goalkeeper,"Feb 16, 1990 ",34,"['Mali', 'France']",France,Montreuil,"1,98",€250k
,Joris Delle,Goalkeeper,"Mar 29, 1990 ",33,['France'],France,Briey,"1,89",€150k
16,Brice Cognard,Goalkeeper,"Apr 26, 1990 ",33,"['Guadeloupe', 'France']",France,Paris,"1,88",€50k
,Thibault Deneys,Goalkeeper,"Jul 31, 1990 ",33,['France'],France,Toulouse,,-
,Mamadou Traoré,Goalkeeper,"Mar 1, 1990 ",34,['France'],France,Metz,"1,73",-
,Thibault Mailhos,Goalkeeper,"Mar 23, 1990 ",33,['France'],France,Sallanches,,-
,Maxime Montay,Goalkeeper,"Feb 21, 1990 ",34,['France'],France,Nice,"1,80",-
,Yannis Manero,Goalkeeper,"Aug 14, 1990 ",33,['France'],France,Toulon,"1,83",-
,Fabien Mahout,Goalkeeper,"Oct 25, 1990 ",33,['France'],France,Toulouse,"1,90",-
,Cédric Julan,Goalkeeper,"Jan 26, 1990 ",34,"['Guadeloupe', 'France']",France,Saint-Denis,"1,90",-
,Clément Dufour,Goalkeeper,"Jul 5, 1990 ",33,['France'],France,Villeneuve d'Ascq,"1,82",-
,Rémy Dufay,Goalkeeper,N/A ,34,[],France,,N/A,-
,Anthony Cianni,Goalkeeper,"Feb 21, 1990 ",34,['France'],France,Sète,"1,80",-
,Grégory Gomis,Goalkeeper,"Nov 4, 1990 ",33,"['Guinea-Bissau', 'France']",France,Versailles,"1,83",-
,Arnaud Schaab,Goalkeeper,"Sep 3, 1990 ",33,['France'],France,Metz,"1,83",-
30,David Oberhauser,Goalkeeper,"Nov 29, 1990 ",33,"['France', 'Germany']",France,Bitche,"1,87",-
,Samir Kouakbi,Goalkeeper,"Feb 27, 1990 ",34,"['Tunisia', 'France']",France,Aubagne,"1,81",-
30,Franck L'Hostis,Goalkeeper,"Apr 3, 1990 ",33,['France'],France,Nîmes,"1,86",-
16,Rémi Pillot,Goalkeeper,"Jul 27, 1990 ",33,['France'],France,Besançon,"1,87",-
,Abdoulaye Keita,Goalkeeper,"Aug 16, 1990 ",33,"['France', 'Senegal']",France,Paris,"1,88",-
,Jonathan Matijas,Goalkeeper,"Jan 6, 1990 ",34,"['Algeria', 'France']",France,Nizza,"1,83",-
,Julien Chaumet,Goalkeeper,"Dec 28, 1990 ",33,['France'],France,Saint-Étienne,"1,80",-
,Adrien Hochédé,Goalkeeper,"Aug 9, 1990 ",33,['France'],France,Arras,,-
,Luca Passoni,Goalkeeper,"Aug 8, 1990 ",33,['France'],France,Dijon,"1,82",-
,Eymeric Rucart,Goalkeeper,"Sep 5, 1990 ",33,['France'],France,Périgueux,,-
,Yassine El Kharroubi,Goalkeeper,"Mar 29, 1990 ",33,"['Morocco', 'France']",France,Dreux,"1,91",-
,Samuel Atrous,Goalkeeper,"Feb 15, 1990 ",34,"['France', 'Algeria']",France,Wattrelos,"1,90",-
,Benoît Blancheton,Goalkeeper,"Jun 30, 1990 ",33,['France'],France,Angoulême,"1,90",-
,Benjamin Lardon,Goalkeeper,"Mar 7, 1990 ",33,['France'],France,Saint-Etienne,"1,89",-
,Geoffrey Andrietti,Goalkeeper,"Sep 9, 1990 ",33,['France'],France,Cannes,"1,85",-
40,Benjamin Lecomte,Goalkeeper,"Apr 26, 1991 ",32,['France'],France,Paris,"1,86",€4.00m
16,Bobby Allain,Goalkeeper,"Nov 28, 1991 ",32,"['France', 'Scotland']",France,Clamart,"1,85",€250k
1,Salim Ben Boina,Goalkeeper,"Jul 19, 1991 ",32,"['Comoros', 'France']",France,Marseille,"1,89",€150k
1,Maxime Hautbois,Goalkeeper,"Jan 3, 1991 ",33,['France'],France,Laval,"1,81",€150k
13,Alex Ruiz,Goalkeeper,"Sep 3, 1991 ",32,"['France', 'Spain']",France,Pau,"1,87",€100k
,Tonio Lebas,Goalkeeper,"Sep 17, 1991 ",32,['France'],France,Arras,"1,97",-
,Benoît Magnon,Goalkeeper,"Nov 20, 1991 ",32,['France'],France,Saint-Malo,"1,82",-
,Thomas Pigeau,Goalkeeper,"Apr 12, 1991 ",32,['France'],France,Niort,"1,86",-
,Charles Cieslinsky,Goalkeeper,"Aug 11, 1991 ",32,"['France', 'Poland']",France,Caen,"1,83",-
,Maksim Akbayin,Goalkeeper,"Jun 23, 1991 ",32,"['France', 'Türkiye']",France,Nevers,,-
,René Dolivet,Goalkeeper,"May 15, 1991 ",32,['France'],France,Alès,"1,87",-
,Kris Devaux,Goalkeeper,"May 9, 1991 ",32,"['United States', 'France']",France,Montdidier,"1,85",-
,Cyril Garcia,Goalkeeper,"Oct 5, 1991 ",32,['France'],France,Castres,"1,86",-
1,Mathieu Michel,Goalkeeper,"Sep 4, 1991 ",32,['France'],France,Nîmes,"1,88",€400k
16,Alexis Sauvage,Goalkeeper,"Oct 30, 1991 ",32,['France'],France,Charleville-Mézières,"1,86",€250k
40,Mehdi Jeannin,Goalkeeper,"Apr 20, 1991 ",32,"['Algeria', 'France']",France,Besançon,"1,87",€150k
,Jeffrey Baltus,Goalkeeper,"Dec 20, 1991 ",32,"['France', 'Martinique']",France,Melun,"1,88",€100k
,Nimétigna Konaté,Goalkeeper,"Jun 7, 1991 ",32,['France'],France,Beauvais,,-
,Julien Coleno,Goalkeeper,"Feb 22, 1991 ",33,['France'],France,Gien,,-
,Grégoire Placca,Goalkeeper,"Feb 3, 1991 ",33,['France'],France,Paris,"1,91",-
,Benjamin Dubois,Goalkeeper,"Nov 27, 1991 ",32,['France'],France,Vitry-le-François,"1,86",-
,Maxime Filliette,Goalkeeper,"Apr 30, 1991 ",32,['France'],France,Boulogne-sur-Mer,,-
,Vincent Pappalardo,Goalkeeper,"Jun 7, 1991 ",32,['France'],France,Sète,"1,80",-
,Guytout Panda,Goalkeeper,"Jun 5, 1991 ",32,['France'],France,Saint-Maur-des-Fossés,"1,78",-
1,Anthony Bal,Goalkeeper,"May 22, 1991 ",32,['France'],France,Bourg-en-Bresse,"1,78",-
