Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
,Florent Cabassud,Goalkeeper,"Jul 9, 1986 ",37,France,France,Orange,,-,,France,,,
,Julien Vanni,Goalkeeper,"May 28, 1986 ",37,France,France,Manosque,"1,83",-,,France,,,
1.0,Yoann Djidonou,Goalkeeper,"May 17, 1986 ",37,"Benin, France",France,Domont,,-,,Benin, France,,
,Mathieu Inthasane,Goalkeeper,"Jun 8, 1986 ",37,"France, Laos",France,Tours,"1,83",-,,France, Laos,,
,Thomas Chatalen,Goalkeeper,"Oct 31, 1986 ",37,France,France,Rueil-Malmaison,"1,76",-,,France,,,
,Jérémy Deichelbohrer,Goalkeeper,"Apr 25, 1986 ",37,France,France,Belfort,"1,86",-,,France,,,
,Stéphane Ruffier,Goalkeeper,"Sep 27, 1986 ",37,France,France,Bayonne,"1,88",-,,France,,,
,Arnaud Brocard,Goalkeeper,"Aug 19, 1986 ",37,France,France,Dijon,"1,85",-,,France,,,
,Benoît Tardieu,Goalkeeper,"Jan 21, 1986 ",38,"Benin, France",France,Ussel,"1,88",-,,Benin, France,,
,Mathieu Lailler,Goalkeeper,"Feb 26, 1986 ",38,France,France,Redon,"1,80",-,,France,,,
,Paul Cattier,Goalkeeper,"May 1, 1986 ",37,France,France,Avignon,"1,87",-,,France,,,
,Damien Perquis,Goalkeeper,"Mar 8, 1986 ",37,France,France,Saint-Brieuc,"1,86",-,,France,,,
,Vincent Briant,Goalkeeper,"Sep 9, 1986 ",37,France,France,Quimperle,"1,84",-,,France,,,
,Thibault Ferrand,Goalkeeper,"Mar 26, 1986 ",37,France,France,Chambray-les-Tours,"1,83",-,,France,,,
,Jessy Moulin,Goalkeeper,"Jan 13, 1986 ",38,France,France,Valence,"1,84",-,,France,,,
,Geoffrey Jourdren,Goalkeeper,"Feb 4, 1986 ",38,France,France,Meaux,"1,83",-,,France,,,
,Stéphane Véron,Goalkeeper,"Jan 31, 1986 ",38,"France, Argentina",France,Sens,"1,86",-,,France, Argentina,,
56.0,Benoît Costil,Goalkeeper,"Jul 3, 1987 ",36,France,France,Caen,"1,88",€800k,,France,,,
88.0,Gilles Meyer,Goalkeeper,"Dec 9, 1987 ",36,France,France,Strasbourg,"1,80",€10k,,France,,,
,Cédric Malavaud,Goalkeeper,"May 18, 1987 ",36,France,France,Gueret,"1,80",-,,France,,,
,Xavier Poinot,Goalkeeper,"Oct 20, 1987 ",36,France,France,Poitiers,,-,,France,,,
,Jawad Khacime,Goalkeeper,"Jul 11, 1987 ",36,"France, Morocco",France,Bourges,"1,76",-,,France, Morocco,,
,Jérémy Tomaselli,Goalkeeper,"Jun 27, 1987 ",36,"Saint-Martin, France",France,Nice,"1,75",-,,Saint-Martin, France,,
,Jean-Baptiste Habert,Goalkeeper,"Feb 24, 1987 ",37,France,France,Montargis,"1,83",-,,France,,,
,Mickaël Scanella,Goalkeeper,"Jun 10, 1987 ",36,France,France,Echirolles,"1,80",-,,France,,,
,Mathieu Delahaigue,Goalkeeper,"Dec 31, 1987 ",36,France,France,Sainte-Foy-les-Lyon,"1,79",-,,France,,,
,Hendrick Rivière,Goalkeeper,"Mar 22, 1987 ",36,France,France,Toulouse,"1,84",-,,France,,,
,Thomas Hym,Goalkeeper,"Aug 29, 1987 ",36,France,France,Nancy,,-,,France,,,
,Anthony Cottier,Goalkeeper,"Mar 23, 1987 ",36,France,France,Lyon,"1,83",-,,France,,,
,Denis Ribeiro,Goalkeeper,"Sep 6, 1987 ",36,France,France,Tours,"1,81",-,,France,,,
1.0,Rémy Riou,Goalkeeper,"Aug 6, 1987 ",36,France,France,Lyon,"1,91",€400k,,France,,,
,Nicolas Panteghini,Goalkeeper,"Jul 4, 1987 ",36,France,France,Roanne,"1,89",-,,France,,,
,Jérémy Lemaître,Goalkeeper,"Nov 30, 1987 ",36,France,France,Nantes,,-,,France,,,
,Romain Samson,Goalkeeper,"Aug 19, 1987 ",36,France,France,Evreux,"1,78",-,,France,,,
,Jonathan Le Roux,Goalkeeper,"Jan 24, 1987 ",37,France,France,Vannes,"1,82",-,,France,,,
,Bertrand Venail,Goalkeeper,"Mar 4, 1987 ",36,France,France,Paris,"1,88",-,,France,,,
,Dimitri Baluteau,Goalkeeper,"May 28, 1987 ",36,France,France,Thouars,"1,76",-,,France,,,
,Pascal Elissalde,Goalkeeper,"Jan 14, 1987 ",37,France,France,Saint-Jean-de-Luz,"1,81",-,,France,,,
,Jean-Marc Le Rouzic,Goalkeeper,"May 14, 1987 ",36,France,France,Auray,"1,82",-,,France,,,
,Arnaud Gibert,Goalkeeper,"Aug 16, 1987 ",36,France,France,Argentan,"1,93",-,,France,,,
1.0,Alexandre Oudot,Goalkeeper,"Jan 20, 1987 ",37,France,France,Talence,,-,,France,,,
,Thomas Gaudu,Goalkeeper,"Apr 4, 1987 ",36,France,France,Montereau-Fault-Yonne,"1,85",-,,France,,,
,Anthony Babikian,Goalkeeper,"Apr 4, 1987 ",36,"Armenia, France",France,Montpellier,"1,80",-,,Armenia, France,,
1.0,Oumar Sissoko,Goalkeeper,"Sep 13, 1987 ",36,"Mali, France",France,Montreuil,"1,87",-,,Mali, France,,
,Steven Gueguin,Goalkeeper,"Apr 24, 1987 ",36,France,France,Pontivy,"1,78",-,,France,,,
,Alan Mermillod,Goalkeeper,"Oct 5, 1987 ",36,France,France,Annecy,"1,86",-,,France,,,
16.0,Alexandre Oukidja,Goalkeeper,"Jul 19, 1988 ",35,"Algeria, France",France,Nevers,"1,84",€500k,,Algeria, France,,
,Yohann Thuram,Goalkeeper,"Oct 31, 1988 ",35,"Guadeloupe, France",France,Courcouronnes,"1,88",€200k,,Guadeloupe, France,,
1.0,Paul Delecroix,Goalkeeper,"Oct 14, 1988 ",35,France,France,Amiens,"1,84",€150k,,France,,,
30.0,Jérémy Aymes,Goalkeeper,"Jul 12, 1988 ",35,France,France,Martigues,"1,89",€150k,,France,,,
,Nicolas Siroux,Goalkeeper,"Jan 16, 1988 ",36,France,France,Lucon,"1,80",-,,France,,,
,Jérémy Struffaldi,Goalkeeper,"Dec 27, 1988 ",35,France,France,Aix-en-Provence,"1,80",-,,France,,,
,Pierre Mainguy,Goalkeeper,"Nov 18, 1988 ",35,France,France,Nantes,"1,79",-,,France,,,
,Jason Corbeau,Goalkeeper,"Dec 6, 1988 ",35,France,France,Calais,,-,,France,,,
,Antoine Gounet,Goalkeeper,"Oct 16, 1988 ",35,France,France,Saint-Doulchard,"1,85",-,,France,,,
,Yann Kerboriou,Goalkeeper,"Feb 5, 1988 ",36,France,France,Clamart,"1,89",-,,France,,,
,Thomas Bosmel,Goalkeeper,"Apr 18, 1988 ",35,France,France,Caen,"1,84",-,,France,,,
,John Bruel,Goalkeeper,"Mar 1, 1988 ",36,France,France,Saint-Etienne,"1,88",-,,France,,,
,Maxime Monnier,Goalkeeper,"Feb 1, 1988 ",36,France,France,Rennes,"1,85",-,,France,,,
30.0,Johny Placide,Goalkeeper,"Jan 29, 1988 ",36,"Haiti, France",France,Montfermeil,"1,81",€250k,,Haiti, France,,
1.0,Anthony Beuve,Goalkeeper,"Jun 24, 1988 ",35,France,France,Eaubonne,"1,86",€150k,,France,,,
40.0,Geoffrey Lembet,Goalkeeper,"Sep 23, 1988 ",35,"Central African Republic, France",France,Villeneuve-Saint-Georges,"1,86",€150k,,Central African Republic, France,,
28.0,William Dutoit,Goalkeeper,"Sep 18, 1988 ",35,France,France,Roncq,"1,82",€100k,,France,,,
,Romain Desjouis,Goalkeeper,"Feb 2, 1988 ",36,France,France,Dunkerque,,-,,France,,,
,Anthony Corre,Goalkeeper,"May 7, 1988 ",35,France,France,Brest,"1,85",-,,France,,,
,Vincent Lorentin,Goalkeeper,"Feb 10, 1988 ",36,France,France,Reims,"1,83",-,,France,,,
,Geoffrey Bardin,Goalkeeper,"Jan 3, 1988 ",36,France,France,Besancon,,-,,France,,,
,Ziman Duki,Goalkeeper,"May 24, 1988 ",35,France,France,Strasbourg,"1,77",-,,France,,,
,Jérôme Scolan,Goalkeeper,"Jun 27, 1988 ",35,France,France,Toulon,"1,80",-,,France,,,
,Alban Catrin,Goalkeeper,"Feb 23, 1988 ",36,France,France,Drancy,"1,82",-,,France,,,
,Julien Hurbain,Goalkeeper,"Sep 2, 1988 ",35,France,France,Gorcy,"1,83",-,,France,,,
,Anthony Scribe,Goalkeeper,"Jan 1, 1988 ",36,France,France,Saint-Germain-en-Laye,"1,92",-,,France,,,
,Benjamin Levacher,Goalkeeper,"Feb 26, 1988 ",36,France,France,Rennes,"1,82",-,,France,,,
,Johann Carrasso,Goalkeeper,"May 7, 1988 ",35,France,France,Avignon,"1,87",-,,France,,,
30.0,Simon Pontdemé,Goalkeeper,"May 4, 1988 ",35,France,France,Niort,"1,86",-,,France,,,
,Franck Grasseler,Goalkeeper,"Nov 10, 1988 ",35,France,France,Mulhouse,"1,85",-,,France,,,
,Alexandre Bouchard,Goalkeeper,"May 1, 1988 ",35,France,France,Grande-Synthe,"1,82",-,,France,,,
,Kévin Olimpa,Goalkeeper,"Mar 10, 1988 ",35,"Martinique, France",France,Paris,"1,86",-,,Martinique, France,,
,Laurent Bernardi,Goalkeeper,"May 9, 1988 ",35,France,France,Ajaccio,"1,77",-,,France,,,
1.0,Benjamin Leroy,Goalkeeper,"Apr 7, 1989 ",34,France,France,Cucq,"1,84",€400k,,France,,,
40.0,Sébastien Rénot,Goalkeeper,"Nov 11, 1989 ",34,France,France,Dijon,"1,85",€200k,,France,,,
16.0,Abdelwaheb Sofiane Khedairia,Goalkeeper,"Apr 1, 1989 ",34,"Algeria, France",France,Valence,"1,85",€150k,,Algeria, France,,
1.0,Antoine Philippon,Goalkeeper,"Oct 10, 1989 ",34,France,France,Moulins,"1,84",€100k,,France,,,
16.0,Romain Ruffier,Goalkeeper,"Oct 4, 1989 ",34,France,France,Nimes,"1,88",€100k,,France,,,
16.0,Cédric Mensah,Goalkeeper,"Mar 6, 1989 ",34,"Togo, France",France,Marseille,"1,85",€50k,,Togo, France,,
,Loic Matchoulian,Goalkeeper,"Apr 6, 1989 ",34,"France, Armenia",France,Marseille,,-,,France, Armenia,,
,Valentin Houdou,Goalkeeper,"Oct 15, 1989 ",34,France,France,Mayenne,"1,91",-,,France,,,
,Vincent Carnovale,Goalkeeper,"Jun 14, 1989 ",34,France,France,Colmar,,-,,France,,,
,Hugo Baqué,Goalkeeper,"Jul 21, 1989 ",34,France,France,Guilherand-Granges,,-,,France,,,
,Rémi Goryl,Goalkeeper,"Jun 10, 1989 ",34,"France, Poland",France,Rodez,"1,81",-,,France, Poland,,
,Florian Trimborn,Goalkeeper,"May 18, 1989 ",34,France,France,Sarreguemines,"1,85",-,,France,,,
,Adrien Dulac,Goalkeeper,"Jan 29, 1989 ",35,France,France,Vichy,,-,,France,,,
1.0,Brice Maubleu,Goalkeeper,"Dec 1, 1989 ",34,France,France,Saint-Martin-d'Heres,"1,92",€400k,,France,,,
1.0,Matthieu Dreyer,Goalkeeper,"Mar 20, 1989 ",34,France,France,Strasbourg,"1,88",€200k,,France,,,
35.0,Parfait Mandanda,Goalkeeper,"Nov 10, 1989 ",34,"DR Congo, France",France,Nevers,"1,82",€150k,,DR Congo, France,,
1.0,Kévin Sommer,Goalkeeper,"Nov 8, 1989 ",34,France,France,Mulhouse,"1,88",€100k,,France,,,
,Anthony Martin,Goalkeeper,"Jul 24, 1989 ",34,"France, Algeria",France,Nantes,"1,83",€50k,,France, Algeria,,
,Julien Nouaille,Goalkeeper,"Jul 5, 1989 ",34,France,France,Lagny-sur-Marne,"1,83",-,,France,,,
,Laurent Valdrighi,Goalkeeper,"Dec 3, 1989 ",34,France,France,Bastia,,-,,France,,,
,Romain Giraud,Goalkeeper,"May 21, 1989 ",34,France,France,Saint-Etienne,"1,77",-,,France,,,
,Arthur Deleuze,Goalkeeper,"Aug 14, 1989 ",34,France,France,Bron,,-,,France,,,
,Mickaël Vieille,Goalkeeper,"Apr 6, 1989 ",34,France,France,Besancon,,-,,France,,,
,Quentin Deberles,Goalkeeper,"Dec 31, 1989 ",34,France,France,Villeparisis,"1,91",-,,France,,,
,Arlind Ejupi,Goalkeeper,"May 18, 1989 ",34,"France, Albania",France,Decines-Charpieu,,-,,France, Albania,,
,Sory Camara,Goalkeeper,"Nov 3, 1989 ",34,"France, Mali",France,Paris,"1,88",-,,France, Mali,,
,Brice Niclos,Goalkeeper,"Oct 19, 1989 ",34,France,France,Montpellier,"1,98",-,,France,,,
,Eddie Rion,Goalkeeper,"May 26, 1989 ",34,France,France,Lyon,,-,,France,,,
,Emmanuel Martin,Goalkeeper,"Oct 15, 1989 ",34,France,France,Reims,"1,82",-,,France,,,
,Florent Mendivé,Goalkeeper,"Oct 24, 1989 ",34,France,France,Salies-de-Bearn,,-,,France,,,
,Jordan Fernand,Goalkeeper,"Jun 16, 1989 ",34,France,France,Saint-Saulve,"1,86",-,,France,,,
,Willy Maeyens,Goalkeeper,"May 6, 1989 ",34,France,France,Peronne,"1,98",-,,France,,,
,Kevin le Nouy,Goalkeeper,"Jan 23, 1989 ",35,France,France,Quimper,"1,85",-,,France,,,
,Matthieu Pichot,Goalkeeper,"Sep 20, 1989 ",34,France,France,Sable-sur-Sarthe,"1,84",-,,France,,,
,Romain Péron,Goalkeeper,"Sep 25, 1989 ",34,France,France,Bruges,"1,88",-,,France,,,
,Florent Petit,Goalkeeper,"Jan 30, 1989 ",35,France,France,Mont-Saint-Aignan,"1,90",-,,France,,,
,Vincent Degrè,Goalkeeper,"Jan 3, 1989 ",35,France,France,Saint-Avold,"1,87",-,,France,,,
,Simon Lugier,Goalkeeper,"Aug 2, 1989 ",34,"French Guiana, France",France,Coutances,"1,83",-,,French Guiana, France,,
,Arnaud Torregrossa,Goalkeeper,"Dec 15, 1989 ",34,France,France,,"1,86",-,,France,,,
,Aurélien Fritsch,Goalkeeper,"Mar 23, 1989 ",34,France,France,Troyes,,-,,France,,,
,Jean-Pierre Grandclément,Goalkeeper,"Feb 7, 1989 ",35,France,France,Lyon,"1,88",-,,France,,,
,Johann Mauge,Goalkeeper,"Aug 17, 1989 ",34,France,France,Besancon,,-,,France,,,
,Alban Guibout,Goalkeeper,"Jul 26, 1989 ",34,France,France,Brioude,"1,84",-,,France,,,
,Baptiste Renaud,Goalkeeper,"May 9, 1989 ",34,France,France,Le Creusot,"1,83",-,,France,,,
,Dominique Agostini,Goalkeeper,"Sep 28, 1989 ",34,"France, Italy",France,Bastia,"1,82",-,,France, Italy,,
,Anthony Dauvergne,Goalkeeper,"Mar 15, 1989 ",34,France,France,Rouen,"1,75",-,,France,,,
,Raphaël Ville,Goalkeeper,"Mar 16, 1989 ",34,France,France,Courbevoie,"1,83",-,,France,,,
,Kévin Aubeneau,Goalkeeper,"Feb 10, 1989 ",35,France,France,Niort,"1,86",-,,France,,,
1.0,Anthony Lopes,Goalkeeper,"Oct 1, 1990 ",33,"Portugal, France",France,Givors,"1,84",€5.00m,,Portugal, France,,
30.0,Alexandre Letellier,Goalkeeper,"Dec 11, 1990 ",33,France,France,Paris,"1,93",€300k,,France,,,
1.0,Mathieu Gorgelin,Goalkeeper,"Aug 5, 1990 ",33,France,France,Amberieu-en-Bugey,"1,87",€200k,,France,,,
,Amine Lecomte-Addani,Goalkeeper,"Apr 26, 1990 ",33,"Qatar, Morocco",France,Reims,"1,94",€75k,,Qatar, Morocco,,
37.0,Raphaël Adiceam,Goalkeeper,"Jul 3, 1990 ",33,France,France,Argenteuil,"1,79",€50k,,France,,,
,Jérémy Bahloul,Goalkeeper,N/A ,33,France,France,Strasbourg,"1,86",-,,France,,,
,Florian Camus,Goalkeeper,"Jun 3, 1990 ",33,France,France,Cannes,"1,90",-,,France,,,
,Salif Soumaré,Goalkeeper,"Oct 27, 1990 ",33,"France, Mali",France,Meulan-en-Yvelines,,-,,France, Mali,,
,Steven Osmont,Goalkeeper,"Dec 12, 1990 ",33,France,France,Saint-Raphael,,-,,France,,,
,Ivan Velandia,Goalkeeper,"May 17, 1990 ",33,"France, Colombia",France,Creteil,"1,86",-,,France, Colombia,,
,Clément Lumé,Goalkeeper,"Dec 19, 1990 ",33,France,France,Caen,"1,95",-,,France,,,
,Valentin Boisivon,Goalkeeper,"Apr 12, 1990 ",33,France,France,Nantes,,-,,France,,,
,Ronan Le Goffic,Goalkeeper,"Oct 2, 1990 ",33,France,France,Guingamp,"1,83",-,,France,,,
1.0,Baptiste Reynet,Goalkeeper,"Oct 28, 1990 ",33,France,France,Romans,"1,85",€300k,,France,,,
30.0,Mamadou Samassa,Goalkeeper,"Feb 16, 1990 ",34,"Mali, France",France,Montreuil,"1,98",€250k,,Mali, France,,
,Joris Delle,Goalkeeper,"Mar 29, 1990 ",33,France,France,Briey,"1,89",€150k,,France,,,
16.0,Brice Cognard,Goalkeeper,"Apr 26, 1990 ",33,"Guadeloupe, France",France,Paris,"1,88",€50k,,Guadeloupe, France,,
,Thibault Deneys,Goalkeeper,"Jul 31, 1990 ",33,France,France,Toulouse,,-,,France,,,
,Mamadou Traoré,Goalkeeper,"Mar 1, 1990 ",34,France,France,Metz,"1,73",-,,France,,,
,Thibault Mailhos,Goalkeeper,"Mar 23, 1990 ",33,France,France,Sallanches,,-,,France,,,
,Maxime Montay,Goalkeeper,"Feb 21, 1990 ",34,France,France,Nice,"1,80",-,,France,,,
,Yannis Manero,Goalkeeper,"Aug 14, 1990 ",33,France,France,Toulon,"1,83",-,,France,,,
,Fabien Mahout,Goalkeeper,"Oct 25, 1990 ",33,France,France,Toulouse,"1,90",-,,France,,,
,Cédric Julan,Goalkeeper,"Jan 26, 1990 ",34,"Guadeloupe, France",France,Saint-Denis,"1,90",-,,Guadeloupe, France,,
,Clément Dufour,Goalkeeper,"Jul 5, 1990 ",33,France,France,Villeneuve d'Ascq,"1,82",-,,France,,,
,Rémy Dufay,Goalkeeper,N/A ,34,,France,,,-,,,,,
,Anthony Cianni,Goalkeeper,"Feb 21, 1990 ",34,France,France,Sete,"1,80",-,,France,,,
,Grégory Gomis,Goalkeeper,"Nov 4, 1990 ",33,"Guinea-Bissau, France",France,Versailles,"1,83",-,,Guinea-Bissau, France,,
,Arnaud Schaab,Goalkeeper,"Sep 3, 1990 ",33,France,France,Metz,"1,83",-,,France,,,
30.0,David Oberhauser,Goalkeeper,"Nov 29, 1990 ",33,"France, Germany",France,Bitche,"1,87",-,,France, Germany,,
,Samir Kouakbi,Goalkeeper,"Feb 27, 1990 ",34,"Tunisia, France",France,Aubagne,"1,81",-,,Tunisia, France,,
30.0,Franck L'Hostis,Goalkeeper,"Apr 3, 1990 ",33,France,France,Nimes,"1,86",-,,France,,,
16.0,Rémi Pillot,Goalkeeper,"Jul 27, 1990 ",33,France,France,Besancon,"1,87",-,,France,,,
,Abdoulaye Keita,Goalkeeper,"Aug 16, 1990 ",33,"France, Senegal",France,Paris,"1,88",-,,France, Senegal,,
,Jonathan Matijas,Goalkeeper,"Jan 6, 1990 ",34,"Algeria, France",France,Nizza,"1,83",-,,Algeria, France,,
,Julien Chaumet,Goalkeeper,"Dec 28, 1990 ",33,France,France,Saint-Etienne,"1,80",-,,France,,,
,Adrien Hochédé,Goalkeeper,"Aug 9, 1990 ",33,France,France,Arras,,-,,France,,,
,Luca Passoni,Goalkeeper,"Aug 8, 1990 ",33,France,France,Dijon,"1,82",-,,France,,,
,Eymeric Rucart,Goalkeeper,"Sep 5, 1990 ",33,France,France,Perigueux,,-,,France,,,
,Yassine El Kharroubi,Goalkeeper,"Mar 29, 1990 ",33,"Morocco, France",France,Dreux,"1,91",-,,Morocco, France,,
,Samuel Atrous,Goalkeeper,"Feb 15, 1990 ",34,"France, Algeria",France,Wattrelos,"1,90",-,,France, Algeria,,
,Benoît Blancheton,Goalkeeper,"Jun 30, 1990 ",33,France,France,Angouleme,"1,90",-,,France,,,
,Benjamin Lardon,Goalkeeper,"Mar 7, 1990 ",33,France,France,Saint-Etienne,"1,89",-,,France,,,
,Geoffrey Andrietti,Goalkeeper,"Sep 9, 1990 ",33,France,France,Cannes,"1,85",-,,France,,,
40.0,Benjamin Lecomte,Goalkeeper,"Apr 26, 1991 ",32,France,France,Paris,"1,86",€4.00m,,France,,,
16.0,Bobby Allain,Goalkeeper,"Nov 28, 1991 ",32,"France, Scotland",France,Clamart,"1,85",€250k,,France, Scotland,,
1.0,Salim Ben Boina,Goalkeeper,"Jul 19, 1991 ",32,"Comoros, France",France,Marseille,"1,89",€150k,,Comoros, France,,
